measurement_id,experiment_id,formulation_id,source_id,sample_id,measurement_stage,property_name_normalized,value,qualifier,value_min,value_max,unit,temperature_c,time_value,time_unit,condition,evidence_type,evidence_locator,quality_level,source_url,notes
M_WANG2026_PAE0_VISC,WANG2026_PAE0,F_WANG2026_PAE0,CN_JRN_WANG2026_PAE,PAE-0%,hot_melt,melt_viscosity,1292,,,,mPa.s,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE0_NCO,WANG2026_PAE0,F_WANG2026_PAE0,CN_JRN_WANG2026_PAE,PAE-0%,hot_melt,nco_content,3.372,,,,wt.%,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE0_OPEN,WANG2026_PAE0,F_WANG2026_PAE0,CN_JRN_WANG2026_PAE,PAE-0%,hot_melt,open_time,4.5,,,,min,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE0_ELONG,WANG2026_PAE0,F_WANG2026_PAE0,CN_JRN_WANG2026_PAE,PAE-0%,cured_other,elongation_at_break,297.2,,,,%,,,,,measured,Public HTML Table 4,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE0_TENS,WANG2026_PAE0,F_WANG2026_PAE0,CN_JRN_WANG2026_PAE,PAE-0%,cured_other,tensile_strength,9.57,,,,MPa,,,,,measured,Public HTML Table 4,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE0_HBI,WANG2026_PAE0,F_WANG2026_PAE0,CN_JRN_WANG2026_PAE,PAE-0%,cured_other,hydrogen_bond_index,0.161,,,,1,,,,,measured,Public HTML Table 1,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE2_VISC,WANG2026_PAE2,F_WANG2026_PAE2,CN_JRN_WANG2026_PAE,PAE-2%,hot_melt,melt_viscosity,1621,,,,mPa.s,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE2_NCO,WANG2026_PAE2,F_WANG2026_PAE2,CN_JRN_WANG2026_PAE,PAE-2%,hot_melt,nco_content,3.011,,,,wt.%,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE2_OPEN,WANG2026_PAE2,F_WANG2026_PAE2,CN_JRN_WANG2026_PAE,PAE-2%,hot_melt,open_time,6.5,,,,min,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE2_ELONG,WANG2026_PAE2,F_WANG2026_PAE2,CN_JRN_WANG2026_PAE,PAE-2%,cured_other,elongation_at_break,661.42,,,,%,,,,,measured,Public HTML Table 4,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE2_TENS,WANG2026_PAE2,F_WANG2026_PAE2,CN_JRN_WANG2026_PAE,PAE-2%,cured_other,tensile_strength,15.53,,,,MPa,,,,,measured,Public HTML Table 4,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE2_HBI,WANG2026_PAE2,F_WANG2026_PAE2,CN_JRN_WANG2026_PAE,PAE-2%,cured_other,hydrogen_bond_index,0.319,,,,1,,,,,measured,Public HTML Table 1,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE4_VISC,WANG2026_PAE4,F_WANG2026_PAE4,CN_JRN_WANG2026_PAE,PAE-4%,hot_melt,melt_viscosity,2510,,,,mPa.s,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE4_NCO,WANG2026_PAE4,F_WANG2026_PAE4,CN_JRN_WANG2026_PAE,PAE-4%,hot_melt,nco_content,2.884,,,,wt.%,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE4_OPEN,WANG2026_PAE4,F_WANG2026_PAE4,CN_JRN_WANG2026_PAE,PAE-4%,hot_melt,open_time,8.3,,,,min,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE4_ELONG,WANG2026_PAE4,F_WANG2026_PAE4,CN_JRN_WANG2026_PAE,PAE-4%,cured_other,elongation_at_break,703.73,,,,%,,,,,measured,Public HTML Table 4,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE4_TENS,WANG2026_PAE4,F_WANG2026_PAE4,CN_JRN_WANG2026_PAE,PAE-4%,cured_other,tensile_strength,15.75,,,,MPa,,,,,measured,Public HTML Table 4,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE4_HBI,WANG2026_PAE4,F_WANG2026_PAE4,CN_JRN_WANG2026_PAE,PAE-4%,cured_other,hydrogen_bond_index,0.386,,,,1,,,,,measured,Public HTML Table 1,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE6_VISC,WANG2026_PAE6,F_WANG2026_PAE6,CN_JRN_WANG2026_PAE,PAE-6%,hot_melt,melt_viscosity,3329,,,,mPa.s,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,Table 2 reports 3329 mPa.s; abstract reports 3325 mPa.s. Table value retained.
M_WANG2026_PAE6_NCO,WANG2026_PAE6,F_WANG2026_PAE6,CN_JRN_WANG2026_PAE,PAE-6%,hot_melt,nco_content,2.613,,,,wt.%,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE6_OPEN,WANG2026_PAE6,F_WANG2026_PAE6,CN_JRN_WANG2026_PAE,PAE-6%,hot_melt,open_time,9.6,,,,min,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE6_ELONG,WANG2026_PAE6,F_WANG2026_PAE6,CN_JRN_WANG2026_PAE,PAE-6%,cured_other,elongation_at_break,808.25,,,,%,,,,,measured,Public HTML Table 4,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE6_TENS,WANG2026_PAE6,F_WANG2026_PAE6,CN_JRN_WANG2026_PAE,PAE-6%,cured_other,tensile_strength,14.97,,,,MPa,,,,,measured,Public HTML Table 4,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE6_HBI,WANG2026_PAE6,F_WANG2026_PAE6,CN_JRN_WANG2026_PAE,PAE-6%,cured_other,hydrogen_bond_index,0.821,,,,1,,,,,measured,Public HTML Table 1,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE8_VISC,WANG2026_PAE8,F_WANG2026_PAE8,CN_JRN_WANG2026_PAE,PAE-8%,hot_melt,melt_viscosity,4144,,,,mPa.s,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE8_NCO,WANG2026_PAE8,F_WANG2026_PAE8,CN_JRN_WANG2026_PAE,PAE-8%,hot_melt,nco_content,2.587,,,,wt.%,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE8_OPEN,WANG2026_PAE8,F_WANG2026_PAE8,CN_JRN_WANG2026_PAE,PAE-8%,hot_melt,open_time,10.2,,,,min,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE8_ELONG,WANG2026_PAE8,F_WANG2026_PAE8,CN_JRN_WANG2026_PAE,PAE-8%,cured_other,elongation_at_break,761.9,,,,%,,,,,measured,Public HTML Table 4,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE8_TENS,WANG2026_PAE8,F_WANG2026_PAE8,CN_JRN_WANG2026_PAE,PAE-8%,cured_other,tensile_strength,14.77,,,,MPa,,,,,measured,Public HTML Table 4,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE8_HBI,WANG2026_PAE8,F_WANG2026_PAE8,CN_JRN_WANG2026_PAE,PAE-8%,cured_other,hydrogen_bond_index,0.723,,,,1,,,,,measured,Public HTML Table 1,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE10_VISC,WANG2026_PAE10,F_WANG2026_PAE10,CN_JRN_WANG2026_PAE,PAE-10%,hot_melt,melt_viscosity,4821,,,,mPa.s,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE10_NCO,WANG2026_PAE10,F_WANG2026_PAE10,CN_JRN_WANG2026_PAE,PAE-10%,hot_melt,nco_content,2.411,,,,wt.%,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE10_OPEN,WANG2026_PAE10,F_WANG2026_PAE10,CN_JRN_WANG2026_PAE,PAE-10%,hot_melt,open_time,11.3,,,,min,,,,,measured,Public HTML Table 2,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE10_ELONG,WANG2026_PAE10,F_WANG2026_PAE10,CN_JRN_WANG2026_PAE,PAE-10%,cured_other,elongation_at_break,674.03,,,,%,,,,,measured,Public HTML Table 4,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE10_TENS,WANG2026_PAE10,F_WANG2026_PAE10,CN_JRN_WANG2026_PAE,PAE-10%,cured_other,tensile_strength,14.69,,,,MPa,,,,,measured,Public HTML Table 4,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_PAE10_HBI,WANG2026_PAE10,F_WANG2026_PAE10,CN_JRN_WANG2026_PAE,PAE-10%,cured_other,hydrogen_bond_index,0.452,,,,1,,,,,measured,Public HTML Table 1,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_BLANK_T3_VISC,WANG2026_BLANK_R183,F_WANG2026_BLANK_R183,CN_JRN_WANG2026_PAE,Blank-PUR,hot_melt,melt_viscosity,2500,,,,mPa.s,,,,,measured,Public HTML Table 3,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_BLANK_INITPEEL,WANG2026_BLANK_R183,F_WANG2026_BLANK_R183,CN_JRN_WANG2026_PAE,Blank-PUR,hot_melt,initial_peel_strength,1.34,,,,N/25mm,,,,,measured,Public HTML Table 3,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
M_WANG2026_BLANK_ULTPEEL,WANG2026_BLANK_R183,F_WANG2026_BLANK_R183,CN_JRN_WANG2026_PAE,Blank-PUR,cured_other,ultimate_peel_strength,102,,,,N/25mm,,,,,measured,Public HTML Table 3,A,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,
