source_id,source_type,title,title_en,authors,institution,journal_or_publisher,year,language,doi,patent_number,publication_number,standard_number,source_url,local_source_path,license,access_date,quality_level,extraction_status,notes
CN_JRN_WANG2026_PAE,journal_cn,天冬氨酸酯改性湿固化聚氨酯热熔胶的制备及性能研究,Preparation and performance study of aspartic acid ester modified moisture-curing polyurethane hot melt adhesive,王淑娜; 高玉宝; 金欣; 宋红玮,青岛科技大学化工学院; 美瑞新材料股份有限公司,高校化学工程学报,2026,zh,10.3969/j.issn.1003-9015.2025-0256,,,,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,,See source,2026-09-05,A,structured_public_tables,Public HTML exposes Tables 1-4. Table 2 value for PAE 6 wt.% viscosity is 3329 mPa.s while abstract says 3325 mPa.s; table value retained as primary and discrepancy preserved in notes.
CN_JRN_LIU2025_ALPVC,journal_cn,铝/聚氯乙烯贴合用反应型聚氨酯热熔胶的制备与性能,Preparation and Properties of Reactive Polyurethane Hot Melt Adhesive for Aluminum/Polyvinyl Chloride Bonding,刘亦曾; 佘静丽; 徐微; 李勇; 马宇彤; 李盛彪,华中师范大学化学学院,高分子材料科学与工程,2025,zh,10.16865/j.cnki.1000-7555.2025.0070,,,,https://pmse.scu.edu.cn/gfzclkxygc/article/abstract/20250501,,See source,2026-09-05,A,structured_abstract,"Official journal page provides optimum R, PHA:PTMG ratio, reaction temperature/time, initial/final peel strength, decomposition temperature and rheology stability statement."
CN_JRN_XIAO2025_HITEMP,journal_cn,电子产品用耐高温反应型聚氨酯热熔胶的制备及其性能研究,Preparation and performance study of high temperature resistant reactive polyurethane hot melt adhesive for electronic products,肖日升; 欧阳鹏飞; 李海平,康达新材料（集团）股份有限公司,中国胶粘剂,2025,zh,10.13416/j.ca.2025.09.008,,,,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/e77f0e8a3233d57ef7cd8bf2c89f3450,,See source,2026-09-05,A,structured_abstract,China Adhesives Association abstract mirror reports a complete 100 wt.% optimum formulation and exact viscosity/shear/aging values.
CN_JRN_ZHAN2008_ONECOMP,journal_cn,单组分聚氨酯反应型热熔胶的研制,Study on one-component polyurethane reactive hot-melt adhesive,詹中贤,洛阳吉明化工有限公司,中国胶粘剂,2008,zh,,,,,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/06bfed31ca53c993d0bd2fa96e12c45b,,See source,2026-09-05,B,structured_abstract,"Abstract reports NCO target, catalyst/tackifier levels and open time, cure time, tensile, initial bond and shear strengths."
CN_JRN_CONG2022_PHONE,journal_cn,手机边框用可拆卸反应型聚氨酯热熔胶的制备及性能研究,Preparation and properties of removable reactive polyurethane hot melt adhesive for mobile phone frame,从赫雷; 方俊; 郎逸超; 程瑶; 乔勇杰,康达新材料（集团）股份有限公司,中国胶粘剂,2022,zh,,,,,https://catia-china.com/post.html?id=6266508f79ec76091c70505e,,See source,2026-09-05,B,structured_abstract_ranges,"Abstract reports R range, polyester/polyether molar ratio, internal polyester blend ratio, 120 C viscosity range and open-time range."
CN_JRN_QIU2026_UNDERWEAR,journal_cn,内衣用反应型聚氨酯热熔胶的制备与性能研究,Preparation and properties of reactive polyurethane hot melt adhesive for underwear,邱伟俊; 陈精华; 张健臻; 甘海波; 陈建军; 黄恒超,广州白云科技股份有限公司; 广东白云科技有限公司,中国胶粘剂,2026,zh,10.13416/j.ca.2026.07.002,,,,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/394dbaafad380ceee18eef0279b77cd7,,See source,2026-09-05,B,structured_abstract,"Public abstract reports optimum product melt viscosity 5880 mPa.s at 130 C, surface drying time 23 s, peel 48 N/25 mm, Shore A 71; detailed formulation requires full-text extraction."
CN_JRN_YE2019_FACTORS,journal_cn,反应型聚氨酯热熔胶制备及其性能研究,Preparation and properties of reactive polyurethane hot melt adhesive,叶世荣,百耐特(新兴)新材料科技有限公司,中国胶粘剂,2019,zh,10.13416/j.ca.2019.06.007,,,,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/84cf9911242456794adaebf00ae036ba,,See source,2026-09-05,B,structured_trends,"Abstract reports optimal NCO mass fraction 1.6%, catalyst threshold 0.10%, and directional effects of NCO, polyol crystallinity and tackifier on viscosity/open time/adhesion."
CN_THS_GAO2013_GDUT,thesis_master,湿固化聚氨酯热熔胶的研制及改性,,高洁,广东工业大学,硕士学位论文,2013,zh,,,,,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/394dbaafad380ceee18eef0279b77cd7,,Metadata citation only,2026-09-05,C,metadata_only_awaiting_fulltext,Title/author/institution/year verified via reference list; full text not redistributed.
CN_THS_FAN2015_DLPU,thesis_master,反应型聚氨酯胶黏剂的合成及应用,,樊永伟,大连工业大学,硕士学位论文,2015,zh,,,,,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/394dbaafad380ceee18eef0279b77cd7,,Metadata citation only,2026-09-05,C,metadata_only_awaiting_fulltext,Verified via reference list in Chinese journal article.
CN_THS_CAO2016_ECUST,thesis_master,湿固化聚氨酯热熔胶的制备与改性研究,Study on preparation and grafting of moisture cured hot melt polyurethane adhesives,曹盛,华东理工大学,硕士学位论文,2016,zh,,,,,https://zzszrb.chd.edu.cn/en/oa/darticle.aspx?id=202303003&type=view,,Metadata citation only,2026-09-05,C,metadata_only_awaiting_fulltext,Bibliographic metadata verified from scholarly reference list.
CN_THS_LIXIN2001_HNU,thesis_master,单组分反应型聚氨酯热熔胶的制备及性能研究,Preparation and properties of one-component reactive polyurethane hot melt adhesive,李鑫,湖南大学,硕士学位论文,2001,zh,,,,,https://zzszrb.chd.edu.cn/en/oa/darticle.aspx?id=202303003&type=view,,Metadata citation only,2026-09-05,C,metadata_only_awaiting_fulltext,Bibliographic metadata verified from scholarly reference list.
CN_THS_XIE2022_SCUT,thesis_master,反应型聚氨酯热熔胶的制备及性能研究,,谢伟迪,华南理工大学,硕士学位论文,2022,zh,,,,,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/b8a8fc29d5b888a9f958f5fa2023e2f6,,Metadata citation only,2026-09-05,C,metadata_only_awaiting_fulltext,Verified via reference list.
CN_THS_WENG2023_SCUT,thesis_master,高初粘强度反应型聚氨酯热熔胶的制备及其结晶行为研究,,翁鋆,华南理工大学,硕士学位论文,2023,zh,,,,,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/b8a8fc29d5b888a9f958f5fa2023e2f6,,Metadata citation only,2026-09-05,C,metadata_only_awaiting_fulltext,High priority for crystallization/green-strength extraction once full text is accessible.
CN_THS_ZHANGXU2020_BUCT,thesis_master,新型反应型聚氨酯（PUR）热熔胶的制备与性能研究,,张续,北京化工大学,硕士学位论文,2020,zh,,,,,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/b60bdaa6cd23759714e1eb88c0acab22,,Metadata citation only,2026-09-05,C,metadata_only_awaiting_fulltext,Verified via reference list.
CN_THS_CHENXUXIN2024_SCUT,thesis_master,耐热反应型聚氨酯热熔胶的制备及性能研究,Study on preparation and properties of heat-resistant polyurethane reactive hot melt adhesive,陈旭欣,华南理工大学,硕士学位论文,2024,zh,,,,,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,,Metadata citation only,2026-09-05,C,metadata_only_awaiting_fulltext,Verified from reference list of 2026 Journal of Chemical Engineering of Chinese Universities article.
