source_id,author,title,institution,year,degree,verification_basis,verification_url,fulltext_status,priority,notes
CN_THS_GAO2013_GDUT,高洁,湿固化聚氨酯热熔胶的研制及改性,广东工业大学,2013,master,scholarly reference list,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/394dbaafad380ceee18eef0279b77cd7,awaiting_fulltext,high,Title/author/institution/year verified via reference list; full text not redistributed.
CN_THS_FAN2015_DLPU,樊永伟,反应型聚氨酯胶黏剂的合成及应用,大连工业大学,2015,master,scholarly reference list,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/394dbaafad380ceee18eef0279b77cd7,awaiting_fulltext,medium,Verified via reference list in Chinese journal article.
CN_THS_CAO2016_ECUST,曹盛,湿固化聚氨酯热熔胶的制备与改性研究,华东理工大学,2016,master,scholarly reference list,https://zzszrb.chd.edu.cn/en/oa/darticle.aspx?id=202303003&type=view,awaiting_fulltext,high,Bibliographic metadata verified from scholarly reference list.
CN_THS_LIXIN2001_HNU,李鑫,单组分反应型聚氨酯热熔胶的制备及性能研究,湖南大学,2001,master,scholarly reference list,https://zzszrb.chd.edu.cn/en/oa/darticle.aspx?id=202303003&type=view,awaiting_fulltext,medium,Bibliographic metadata verified from scholarly reference list.
CN_THS_XIE2022_SCUT,谢伟迪,反应型聚氨酯热熔胶的制备及性能研究,华南理工大学,2022,master,scholarly reference list,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/b8a8fc29d5b888a9f958f5fa2023e2f6,awaiting_fulltext,medium,Verified via reference list.
CN_THS_WENG2023_SCUT,翁鋆,高初粘强度反应型聚氨酯热熔胶的制备及其结晶行为研究,华南理工大学,2023,master,scholarly reference list,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/b8a8fc29d5b888a9f958f5fa2023e2f6,awaiting_fulltext,high,High priority for crystallization/green-strength extraction once full text is accessible.
CN_THS_ZHANGXU2020_BUCT,张续,新型反应型聚氨酯（PUR）热熔胶的制备与性能研究,北京化工大学,2020,master,scholarly reference list,https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/b60bdaa6cd23759714e1eb88c0acab22,awaiting_fulltext,medium,Verified via reference list.
CN_THS_CHENXUXIN2024_SCUT,陈旭欣,耐热反应型聚氨酯热熔胶的制备及性能研究,华南理工大学,2024,master,scholarly reference list,https://gxhxgcxb.xml-journal.net/article/doi/10.3969/j.issn.1003-9015.2025-0256,awaiting_fulltext,high,Verified from reference list of 2026 Journal of Chemical Engineering of Chinese Universities article.
CN_THS_SHE2022_CCNU,佘静丽,铝/PVC贴合用反应型聚氨酯热熔胶的制备与表征,华中师范大学,2022,master,institutional defense page,https://chem.ccnu.edu.cn/info/1108/25361.htm,awaiting_fulltext,medium,"Thesis title, student, supervisor group and defense date verified on CCNU institutional page."
CN_THS_MA2025_CCNU,马宇彤,海绵/涤纶贴合用反应型聚氨酯热熔胶的制备与表征,华中师范大学,2025,master,institutional defense page,https://chem.ccnu.edu.cn/info/1108/20911.htm,awaiting_fulltext,high,Thesis title and defense metadata verified on CCNU institutional page.
