source_id,source_type,title,year,doi_or_patent,publisher,license,source_url,relevance
PAT_US20240343957A1,patent,High green strength reactive hot melt adhesives,2024,US20240343957A1,Google Patents / USPTO,See source,https://patents.google.com/patent/US20240343957A1/en,"Green strength, viscosity, open time, final strength"
PAT_WO2019060658A1,patent,A high strength long open time polyurethane reactive hot melt,2019,WO2019060658A1,Google Patents / WIPO,See source,https://patents.google.com/patent/WO2019060658A1/en,Long open time PUR hot melt formulations
PAT_US20160215185A1,patent,Moisture-curing polyurethane reactive hot melt adhesive for textile lamination,2016,US20160215185A1,Google Patents / USPTO,See source,https://patents.google.com/patent/US20160215185A1/en,"Complete formulations, viscosity, textile peel and water immersion"
PAT_US20090208759A1,patent,Moisture-curable polyurethane hot melt adhesive and multilayer sheet,2009,US20090208759A1,Google Patents / USPTO,See source,https://patents.google.com/patent/US20090208759A1/en,"Polycarbonate HMPUR, peel and 50-cycle washing resistance"
PAT_US20030022973A1,patent,Moisture cured polyurethane hot melt adhesives with reactive tackifiers,2003,US20030022973A1,Google Patents / USPTO,See source,https://patents.google.com/patent/US20030022973A1/en,"Reactive tackifiers, viscosity, open time and lap shear"
PAT_US5932680A,patent,Moisture-curing polyurethane hot-melt adhesive,1999,US5932680A,Google Patents / USPTO,See source,https://patents.google.com/patent/US5932680A/en,"Multi-polyester formulations, viscosity and shoe bonding"
PAT_CN120230505A,patent,One-component moisture-curing polyurethane hot melt adhesive,2025,CN120230505A,Google Patents / CNIPA,See source,https://patents.google.com/patent/CN120230505A/en,"Viscosity, short-time and final peel"
PAT_CN110964475B,patent,Moisture-curing polyurethane hot melt adhesive for nylon yarn fabric,2022,CN110964475B,Google Patents / CNIPA,See source,https://patents.google.com/patent/CN110964475B/en,Nylon textile PUR hot melt formulations
PAT_US20070155859A1,patent,Reactive polyurethane hot melt adhesive with hollow microspheres,2007,US20070155859A1,Google Patents / USPTO,See source,https://patents.google.com/patent/US20070155859A1/en,"Microsphere loading, viscosity, density, open time and cross peel"
PAT_US20220235249A1,patent,Polyurethane hot melt adhesive for low temperature application,2022,US20220235249A1,Google Patents / USPTO,See source,https://patents.google.com/patent/US20220235249A1/en,Low-temperature application PUR hot melt
PAT_CN107523255A,patent,Moisture-curable polyurethane hot melt adhesive for decorative facing,2017,CN107523255A,Google Patents / CNIPA,See source,https://patents.google.com/patent/CN107523255A/en,"Viscosity, initial/final strength and open time"
PAT_CN107502173A,patent,Moisture-curable polyurethane hot melt adhesive for edge sealing,2017,CN107502173A,Google Patents / CNIPA,See source,https://patents.google.com/patent/CN107502173A/en,"High viscosity, initial/final strength and seconds-scale open time"
PAPER_POLYMERS_2024_3356,paper,Enhanced Green Strength in a Polycarbonate Polyol-Based Reactive Polyurethane Hot-Melt Adhesive,2024,10.3390/polym16233356,MDPI Polymers,CC BY 4.0,https://doi.org/10.3390/polym16233356,"Composition, rheology, DMA, initial and final T-peel"
PAPER_POLYMERS_2022_284,paper,Sustainable Reactive Polyurethane Hot Melt Adhesives Based on Vegetable Polyols for Footwear Industry,2022,10.3390/polym14020284,MDPI Polymers,CC BY 4.0,https://doi.org/10.3390/polym14020284,"Bio-polyol content, viscosity, softening, DSC and TGA"
PAPER_POLYMERS_2024_1928,paper,Development and Application of a Lignin-Based Polyol for Sustainable Reactive Polyurethane Adhesives Synthesis,2024,10.3390/polym16131928,MDPI Polymers,CC BY 4.0,https://doi.org/10.3390/polym16131928,"Lignin substitution, reaction time, free NCO, DSC, TGA and T-peel protocol"
PAPER_ACS_OMEGA_2025_5C00473,paper,"Synthesis, Characterization, and Performance Evaluation of Highly Reactive and Sustainable Hot-Melt Polyurethane Adhesives Derived from Lignin-Based Polyols",2025,10.1021/acsomega.5c00473,ACS Omega,Open access; see article,https://doi.org/10.1021/acsomega.5c00473,"Lignin and nanosilica formulation, viscosity, softening and time-resolved peel"
PAPER_FRONTIERS_2019_00087,paper,Hierarchical Machine Learning Model for Mechanical Property Predictions of Polyurethane Elastomers From Small Datasets,2019,10.3389/fmats.2019.00087,Frontiers in Materials,CC BY 4.0,https://doi.org/10.3389/fmats.2019.00087,Small-data PU mechanical-property ML architecture
DATA_MENDELEY_9XF4VGMJJP_V1,dataset,Dataset for the design-for-recycling of multilayer polyethylene laminated films: influence of polyol chemistry in PUR adhesives,2026,10.17632/9xf4vgmjjp.1,Mendeley Data,CC BY 4.0,https://data.mendeley.com/datasets/9xf4vgmjjp/1,"PUR components, formulations, processing and recycling performance plus raw characterization curves"
DATA_PUGAR_VISCOSITY,dataset,PU prepolymer viscosity modeling repository,2024,GitHub: joepugar/viscosity-modeling,GitHub,See repository,https://github.com/joepugar/viscosity-modeling,Temperature-viscosity curves and PU chemical/physicochemical descriptors
DATA_PU_TG_FRAMEWORK,dataset,Machine-learning frameworks for polyurethane glass-transition prediction,2025,GitHub: LCL0216/Machine-Learning-Frameworks,GitHub,See repository,https://github.com/LCL0216/Machine-Learning-Frameworks,226-row feature-selected PU Tg dataset and model scripts
MATERIAL_PRIOR_PUR_INTRO,prior_material,PUR热熔胶简介,2026,local prior material,User workspace,User material,,Prior presentation retained with the external database bundle
