term_id,raw_term,normalized_term,english_term,category,language,notes
TERM001,聚氨酯热熔胶,聚氨酯热熔胶,polyurethane hot melt adhesive,adhesive,zh,
TERM002,反应型聚氨酯热熔胶,反应型聚氨酯热熔胶,reactive polyurethane hot melt adhesive,adhesive,zh,
TERM003,湿气固化PUR,湿气固化PUR,moisture-curing PUR,curing,zh,
TERM004,初粘强度,初粘强度,green strength,property,zh,
TERM005,开放时间,开放时间,open time,property,zh,
TERM006,晾置时间,开放时间,open time,property,zh,synonym
TERM007,熔融粘度,熔融黏度,melt viscosity,property,zh,traditional wording normalized
TERM008,熔融黏度,熔融黏度,melt viscosity,property,zh,
TERM009,动力粘度,动力黏度,dynamic viscosity,property,zh,
TERM010,动力黏度,动力黏度,dynamic viscosity,property,zh,
TERM011,剥离强度,剥离强度,peel strength,property,zh,
TERM012,拉伸剪切强度,拉伸剪切强度,lap shear strength,property,zh,
TERM013,异氰酸酯指数,NCO/OH指数,NCO/OH index,chemistry,zh,
TERM014,游离NCO,游离NCO,free NCO,chemistry,zh,
TERM015,羟值,羟值,hydroxyl value,property,zh,
TERM016,酸值,酸值,acid value,property,zh,
TERM017,聚酯多元醇,聚酯多元醇,polyester polyol,material,zh,
TERM018,聚醚多元醇,聚醚多元醇,polyether polyol,material,zh,
TERM019,聚碳酸酯多元醇,聚碳酸酯多元醇,polycarbonate polyol,material,zh,
TERM020,二苯基甲烷二异氰酸酯,MDI,methylene diphenyl diisocyanate,material,zh,
TERM021,4,4'-MDI,MDI,4,4'-methylene diphenyl diisocyanate,material,en,
TERM022,预聚体,预聚物,prepolymer,chemistry,zh,synonym
TERM023,预聚物,预聚物,prepolymer,chemistry,zh,
TERM024,结晶时间,结晶时间,crystallization time,property,zh,
TERM025,固化时间,固化时间,curing time,property,zh,
TERM026,耐水解性,耐水解性,hydrolysis resistance,property,zh,
TERM027,耐热性,耐热性,heat resistance,property,zh,
TERM028,固含量,固含量,solids content,property,zh,
TERM029,增粘树脂,增粘树脂,tackifier,material,zh,
TERM030,催化剂,催化剂,catalyst,material,zh,
