record_id,source_id,source_version,polyol_grade,material_id,morphology,oh_min_mg_koh_g,oh_max_mg_koh_g,molecular_weight_g_mol,precursor_stage,precursor_viscosity_pa_s,precursor_temperature_c,product_stage,prepolymer_viscosity_pa_s,prepolymer_temperature_c,isocyanate,oh_nco_ratio,same_temperature_pair,viscosity_amplification_factor,factor_status,evidence_locator,notes
EVO_MATCH_7110_2024,MFR_EVO_DYNACOLL7000_2024,2024_product_range,DYNACOLL 7110,MAT_EVO_DYNACOLL_7110,amorphous,50,60,2000,polyol,1,130,MDI_prepolymer,3,130,"4,4'-MDI",1:2.2,1,3,derived_exact_same_temperature,DYNACOLL 7000 Product Range: Product Range + Reactive Hot Melt Data,"Factor = reported prepolymer viscosity / reported raw-polyol viscosity at the same 130 C; both values taken from the same source version."
EVO_MATCH_7111_2024,MFR_EVO_DYNACOLL7000_2024,2024_product_range,DYNACOLL 7111,MAT_EVO_DYNACOLL_7111,amorphous,27,34,3500,polyol,3,130,MDI_prepolymer,13,130,"4,4'-MDI",1:2.2,1,4.33333,derived_exact_same_temperature,DYNACOLL 7000 Product Range: Product Range + Reactive Hot Melt Data,"Factor = reported prepolymer viscosity / reported raw-polyol viscosity at the same 130 C; both values taken from the same source version."
EVO_MATCH_7130_2024,MFR_EVO_DYNACOLL7000_2024,2024_product_range,DYNACOLL 7130,MAT_EVO_DYNACOLL_7130,amorphous,31,39,3000,polyol,10,130,MDI_prepolymer,45,130,"4,4'-MDI",1:2.2,1,4.5,derived_exact_same_temperature,DYNACOLL 7000 Product Range: Product Range + Reactive Hot Melt Data,"Factor = reported prepolymer viscosity / reported raw-polyol viscosity at the same 130 C; both values taken from the same source version."
EVO_MATCH_7131_2024,MFR_EVO_DYNACOLL7000_2024,2024_product_range,DYNACOLL 7131,MAT_EVO_DYNACOLL_7131,amorphous,31,39,3000,polyol,10,130,MDI_prepolymer,50,130,"4,4'-MDI",1:2.2,1,5,derived_exact_same_temperature,DYNACOLL 7000 Product Range: Product Range + Reactive Hot Melt Data,"Factor = reported prepolymer viscosity / reported raw-polyol viscosity at the same 130 C; both values taken from the same source version."
EVO_MATCH_7140_2024,MFR_EVO_DYNACOLL7000_2024,2024_product_range,DYNACOLL 7140,MAT_EVO_DYNACOLL_7140,amorphous,18,24,5500,polyol,50,130,MDI_prepolymer,700,130,"4,4'-MDI",1:2.2,1,14,derived_exact_same_temperature,DYNACOLL 7000 Product Range: Product Range + Reactive Hot Melt Data,"Factor = reported prepolymer viscosity / reported raw-polyol viscosity at the same 130 C; both values taken from the same source version."
EVO_MATCH_7150_2024,MFR_EVO_DYNACOLL7000_2024,2024_product_range,DYNACOLL 7150,MAT_EVO_DYNACOLL_7150,amorphous,38,46,2600,polyol,60,130,MDI_prepolymer,400,130,"4,4'-MDI",1:2.2,1,6.66667,derived_exact_same_temperature,DYNACOLL 7000 Product Range: Product Range + Reactive Hot Melt Data,"Factor = reported prepolymer viscosity / reported raw-polyol viscosity at the same 130 C; both values taken from the same source version."
EVO_MATCH_7330_2024,MFR_EVO_DYNACOLL7000_2024,2024_product_range,DYNACOLL 7330,MAT_EVO_DYNACOLL_7330,crystalline,27,34,3500,polyol,0.3,130,MDI_prepolymer,3,130,"4,4'-MDI",1:2.2,1,10,derived_exact_same_temperature,DYNACOLL 7000 Product Range: Product Range + Reactive Hot Melt Data,"Factor = reported prepolymer viscosity / reported raw-polyol viscosity at the same 130 C; both values taken from the same source version."
EVO_MATCH_7320_2024,MFR_EVO_DYNACOLL7000_2024,2024_product_range,DYNACOLL 7320,MAT_EVO_DYNACOLL_7320,crystalline,27,34,3500,polyol,4,130,MDI_prepolymer,48,130,"4,4'-MDI",1:2.2,1,12,derived_exact_same_temperature,DYNACOLL 7000 Product Range: Product Range + Reactive Hot Melt Data,"Factor = reported prepolymer viscosity / reported raw-polyol viscosity at the same 130 C; both values taken from the same source version."
EVO_MATCH_7340_2024,MFR_EVO_DYNACOLL7000_2024,2024_product_range,DYNACOLL 7340,MAT_EVO_DYNACOLL_7340,crystalline,27,34,3500,polyol,1,130,MDI_prepolymer,12,130,"4,4'-MDI",1:2.2,1,12,derived_exact_same_temperature,DYNACOLL 7000 Product Range: Product Range + Reactive Hot Melt Data,"Factor = reported prepolymer viscosity / reported raw-polyol viscosity at the same 130 C; both values taken from the same source version."
EVO_MATCH_7390_2024,MFR_EVO_DYNACOLL7000_2024,2024_product_range,DYNACOLL 7390,MAT_EVO_DYNACOLL_7390,crystalline,27,34,3500,polyol,0.7,130,MDI_prepolymer,4,130,"4,4'-MDI",1:2.2,1,5.71429,derived_exact_same_temperature,DYNACOLL 7000 Product Range: Product Range + Reactive Hot Melt Data,"Factor = reported prepolymer viscosity / reported raw-polyol viscosity at the same 130 C; both values taken from the same source version."
