polyol_grade,softening_point_c,open_time,open_time_unit,setting_time,setting_time_unit,tensile_strength_n_mm2,elongation_pct,melt_viscosity_130c_pa_s,mechanical_note,isocyanate,oh_nco_ratio,drying_condition,reaction_condition,source_id,evidence_locator
DYNACOLL 7110,64,10,s,1,s,,,3,brittle,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
DYNACOLL 7111,71,6,s,1,s,,,13,brittle,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
DYNACOLL 7130,88,1,s,1,s,,,45,brittle,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
DYNACOLL 7131,88,1,s,1,s,,,50,brittle,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
DYNACOLL 7140,102,1,s,<1,s,,,700,brittle,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
DYNACOLL 7150,105,<1,s,<1,s,,,400,brittle,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
DYNACOLL 7210,45,several hours,,several hours,,15,800,5,,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
DYNACOLL 7230,,several hours,,several hours,,15,900,9,,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
DYNACOLL 7231,,several hours,,several hours,,15,900,8,,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
DYNACOLL 7250,,several hours,,several hours,,15,1500,9,,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
DYNACOLL 7255,40,several hours,,several hours,,30,1500,5,,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
DYNACOLL 7360,59,80,s,15,s,25,500,4,,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
DYNACOLL 7363,61,50,s,15,s,25,500,11,,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
DYNACOLL 7365,63,50,s,15,s,20,550,18,,"4,4'-MDI",1:2.2,"130C, <10 mbar, 45 min",130C inert gas; theoretical free NCO endpoint; after 45 min degas bubble-free,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Reactive Hot Melt Data"
