record_id,source_id,example_id,example_role,formulation_basis,ppg2000_amount,ppg4000_amount,polyester_code,polyester_amount,acrylic_grade,acrylic_amount,caco3_amount,mdi44_amount,reported_total,dehydration_temp_c,dehydration_time_min,reaction_temp_c,reaction_time_min,notes
HENKEL20_EX01,PAT_US20200216730A1,1,control,wt_pct,14.5,14.5,A,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX02,PAT_US20200216730A1,2,control,wt_pct,14.5,14.5,B,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX03,PAT_US20200216730A1,3,inventive,wt_pct,14.5,14.5,C,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX04,PAT_US20200216730A1,4,control,wt_pct,14.5,14.5,D,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX05,PAT_US20200216730A1,5,control,wt_pct,14.5,14.5,E,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX06,PAT_US20200216730A1,6,control,wt_pct,14.5,14.5,F,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX07,PAT_US20200216730A1,7,control,wt_pct,14.5,14.5,G,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX08,PAT_US20200216730A1,8,control,wt_pct,14.5,14.5,H,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX09,PAT_US20200216730A1,9,inventive,wt_pct,14.5,14.5,I,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX10,PAT_US20200216730A1,10,control,wt_pct,14.5,14.5,J,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX11,PAT_US20200216730A1,11,inventive,wt_pct,14.5,14.5,K,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX12,PAT_US20200216730A1,12,control,wt_pct,14.5,14.5,L,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX13,PAT_US20200216730A1,13,control,wt_pct,14.5,14.5,M,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX14,PAT_US20200216730A1,14,inventive,wt_pct,14.5,14.5,C,14.5,Elvacite 4014,20.5,25,11,100,110-130,60,130,75,Common Table 2A formulation with Elvacite 4014 replacing Elvacite 2016.
HENKEL20_EX15,PAT_US20200216730A1,15,control,wt_pct,14.5,14.5,N,14.5,Elvacite 2016,20.5,25,11,100,110-130,60,130,75,"Common Table 2A formulation; only polyester identity changes, except Example 14 uses Elvacite 4014."
HENKEL20_EX16,PAT_US20200216730A1,16,control,parts_by_weight,14.5,14.5,C,14.5,Elvacite 2016,20.5,0,9.2,73.2,110-130,60,130,75,"Table 2B reports parts by weight, not normalized wt%; filler-free analogue of Example 3. Amount columns must be interpreted using formulation_basis."
