record_id,source_id,formulation_record_id,example_id,theoretical_nco_wt_pct,viscosity_121c_cps,viscosity_status,open_time_value_min,open_time_qualifier,green_strength_5min_psi,green_strength_10min_psi,green_strength_15min_psi,green_strength_20min_psi,green_strength_25min_psi,green_strength_30min_psi,storage_modulus_90c_pa,elongation_break_pct,yield_strength_psi,tensile_strength_psi,evidence_locator,notes
HENKEL20_PERF_EX01,PAT_US20200216730A1,HENKEL20_EX01,1,2.43,10875,measured,3,approx,129,129,130,136,157,158,7320000.0,453,989,1747,Tables 3-6,"Viscosity: Brookfield DV-I+ #27 spindle at 121 C. Open time: 0.8 g dispensed at 121 C, transfer-to-tongue-depressor endpoint during cooling to 23 C. Green strength: hardwood cross-peeler test."
HENKEL20_PERF_EX02,PAT_US20200216730A1,HENKEL20_EX02,2,2.43,12950,measured,0.5,lt,107,123,124,127,129,135,,,,,Tables 3-6,"Viscosity: Brookfield DV-I+ #27 spindle at 121 C. Open time: 0.8 g dispensed at 121 C, transfer-to-tongue-depressor endpoint during cooling to 23 C. Green strength: hardwood cross-peeler test."
HENKEL20_PERF_EX03,PAT_US20200216730A1,HENKEL20_EX03,3,2.43,12650,measured,8,approx,66,112,121,127,131,139,6380000.0,585,889,1828,Tables 3-6,"Viscosity: Brookfield DV-I+ #27 spindle at 121 C. Open time: 0.8 g dispensed at 121 C, transfer-to-tongue-depressor endpoint during cooling to 23 C. Green strength: hardwood cross-peeler test."
HENKEL20_PERF_EX04,PAT_US20200216730A1,HENKEL20_EX04,4,2.43,12250,measured,5,approx,74,119,127,129,139,141,,,,,Tables 3-6,"Viscosity: Brookfield DV-I+ #27 spindle at 121 C. Open time: 0.8 g dispensed at 121 C, transfer-to-tongue-depressor endpoint during cooling to 23 C. Green strength: hardwood cross-peeler test."
HENKEL20_PERF_EX05,PAT_US20200216730A1,HENKEL20_EX05,5,2.43,13450,measured,18,approx,22,22,25,27,31,38,,,,,Tables 3-6,"Viscosity: Brookfield DV-I+ #27 spindle at 121 C. Open time: 0.8 g dispensed at 121 C, transfer-to-tongue-depressor endpoint during cooling to 23 C. Green strength: hardwood cross-peeler test."
HENKEL20_PERF_EX06,PAT_US20200216730A1,HENKEL20_EX06,6,2.38,10575,measured,28,approx,18,20,20,22,22,26,,,,,Tables 3-6,"Viscosity: Brookfield DV-I+ #27 spindle at 121 C. Open time: 0.8 g dispensed at 121 C, transfer-to-tongue-depressor endpoint during cooling to 23 C. Green strength: hardwood cross-peeler test."
HENKEL20_PERF_EX07,PAT_US20200216730A1,HENKEL20_EX07,7,2.41,12150,measured,24,approx,18,21,23,23,26,27,14200000.0,632,521,1609,Tables 3-6,"Viscosity: Brookfield DV-I+ #27 spindle at 121 C. Open time: 0.8 g dispensed at 121 C, transfer-to-tongue-depressor endpoint during cooling to 23 C. Green strength: hardwood cross-peeler test."
HENKEL20_PERF_EX08,PAT_US20200216730A1,HENKEL20_EX08,8,2.42,10300,measured,0.5,lt,129,130,132,136,140,148,,,,,Tables 3-6,"Viscosity: Brookfield DV-I+ #27 spindle at 121 C. Open time: 0.8 g dispensed at 121 C, transfer-to-tongue-depressor endpoint during cooling to 23 C. Green strength: hardwood cross-peeler test."
HENKEL20_PERF_EX09,PAT_US20200216730A1,HENKEL20_EX09,9,2.47,11700,measured,8,approx,52,131,137,140,144,147,6750000.0,548,973,1721,Tables 3-6,"Viscosity: Brookfield DV-I+ #27 spindle at 121 C. Open time: 0.8 g dispensed at 121 C, transfer-to-tongue-depressor endpoint during cooling to 23 C. Green strength: hardwood cross-peeler test."
HENKEL20_PERF_EX10,PAT_US20200216730A1,HENKEL20_EX10,10,2.43,10750,measured,1,lt,119,138,142,154,190,195,,,,,Tables 3-6,"Viscosity: Brookfield DV-I+ #27 spindle at 121 C. Open time: 0.8 g dispensed at 121 C, transfer-to-tongue-depressor endpoint during cooling to 23 C. Green strength: hardwood cross-peeler test."
