record_id,source_id,example_label,series_role,polyester_a_wt_pct,polyester_b_wt_pct,polyester_c_wt_pct,polyester_d_wt_pct,polyester_i_wt_pct,polyester_h_wt_pct,ppg425_wt_pct,tackifier_beta_pinene_wt_pct,hydrocarbon_resin_wt_pct,mdi44_wt_pct,reported_total_wt_pct,nco_oh_ratio,viscosity_90c_pa_s,viscosity_110c_pa_s,viscosity_130c_pa_s_min,viscosity_130c_pa_s_max,viscosity_180c_pa_s,initial_strength_min_kg_cm,initial_strength_max_kg_cm,initial_strength_time_min,initial_strength_test_substrate,initial_strength_test_speed_cm_min,mature_bond_strength_kg_cm,mature_bond_time_days,mature_bond_substrate,creep_resistance_reported,evidence_locator,notes
HENKEL_US5599895_EX1,PAT_US5599895A,EX1,polyester_count_series,47.6,,,,,,23.8,4.8,,23.8,100.0,1.4:1,190,55,22,22,,0.4,0.9,5,SBR/man-made shoe-upper material,1.25,,,,,Examples 1-5 table,Patent states Examples 1-5 demonstrate the effect of number of polyester glycols on initial strength.
HENKEL_US5599895_EX2,PAT_US5599895A,EX2,polyester_count_series,24.8,,24.8,,,,24.8,,,25.6,100.0,1.4:1,375,130,52,52,,4.1,5.0,5,SBR/man-made shoe-upper material,1.25,,,,,Examples 1-5 table,
HENKEL_US5599895_EX3,PAT_US5599895A,EX3,polyester_count_series,16.5,16.5,16.5,,,,24.5,,,26.0,100.0,1.4:1,310,75,26,26,,1.8,2.5,5,SBR/man-made shoe-upper material,1.25,,,,,Examples 1-5 table,
HENKEL_US5599895_EX4,PAT_US5599895A,EX4,polyester_count_series,14.1,14.1,28.3,,,,17.7,,5.3,20.5,100.0,1.4:1,98,60,,,,4.6,5.0,5,SBR/man-made shoe-upper material,1.25,,,,,Examples 1-5 table,No 130 C viscosity value reported in the table.
HENKEL_US5599895_EX5,PAT_US5599895A,EX5,polyester_count_series,23.3,11.7,5.8,5.8,,,23.3,5.8,,24.3,100.0,1.4:1,,,26,26,,2.2,2.2,5,SBR/man-made shoe-upper material,1.25,5.3,7,leather/SBR,good,Examples 1-5 table,
HENKEL_US5599895_EX6,PAT_US5599895A,EX6,controlled_polyester_distribution_series,29.2,5.8,5.8,5.8,,,23.3,5.8,,24.3,100.0,1.4:1,,,43,43,,3.6,3.6,5,SBR/man-made shoe-upper material,1.25,2.5,7,leather/SBR,good,Examples 6-9 table,
HENKEL_US5599895_EX7,PAT_US5599895A,EX7,controlled_polyester_distribution_series,23.3,11.6,1.2,10.5,,,23.3,5.8,,24.3,100.0,1.4:1,,,22,22,,3.6,3.6,5,SBR/man-made shoe-upper material,1.25,,,,,Examples 6-9 table,
HENKEL_US5599895_EX8,PAT_US5599895A,EX8,controlled_polyester_distribution_series,29.1,5.8,1.1,10.5,,,23.3,5.8,,24.3,99.9,1.4:1,,,24,24,,3.6,3.6,5,SBR/man-made shoe-upper material,1.25,7.1,7,leather/SBR,good,Examples 6-9 table,Reported components sum to 99.9 wt% due to rounding in patent table.
HENKEL_US5599895_EX9,PAT_US5599895A,EX9,controlled_polyester_distribution_series,23.4,11.7,10.5,1.2,,,23.4,5.9,,23.9,100.0,1.4:1,,,27,27,,3.6,3.6,5,SBR/man-made shoe-upper material,1.25,4.5,7,leather/SBR,good,Examples 6-9 table,
HENKEL_US5599895_EX10,PAT_US5599895A,EX10,nco_oh_1p5_series,22.9,11.5,5.7,5.7,,,22.9,5.7,,25.5,99.9,1.5:1,,37,14,14,,2.0,2.0,5,SBR/man-made shoe-upper material,1.25,,,,,Examples 10-11 table,Reported components sum to 99.9 wt% due to rounding in patent table.
