method_id,source_id,method_type,parameter,value_text,numeric_value,unit,qualifier,evidence_locator,notes
HENKEL5599895_PREP_DEHYD_T,PAT_US5599895A,preparation,dehydration_temperature,"110-130 C",,,range,"US5599895A lines 491-493","Polyester glycol(s), PPG and optional beta-pinene resin dehydrated under vacuum."
HENKEL5599895_PREP_DEHYD_TIME,PAT_US5599895A,preparation,dehydration_time,"about 60 min",60,min,about,"US5599895A lines 491-493","
HENKEL5599895_PREP_MDI_ADD,PAT_US5599895A,preparation,mdi_addition_temperature,"about 90 C",90,C,about,"US5599895A lines 491-493","Blend cooled before addition of 4,4'-MDI."
HENKEL5599895_PREP_RXN_T,PAT_US5599895A,preparation,reaction_temperature,"110-130 C",,,range,"US5599895A lines 491-493","Reaction conducted under vacuum."
HENKEL5599895_PREP_RXN_TIME,PAT_US5599895A,preparation,reaction_time,"about 60 min",60,min,about,"US5599895A lines 491-493","
HENKEL5599895_VISC_PREHEAT,PAT_US5599895A,rheology,viscosity_preheat_time,"15 min at specified temperature",15,min,exact_procedure,"US5599895A lines 494-496","Brookfield Thermocell method."
HENKEL5599895_VISC_INSTRUMENT,PAT_US5599895A,rheology,viscometer,"Brookfield Thermocell",,,,reported,"US5599895A lines 494-496","
HENKEL5599895_PEEL_WIDTH,PAT_US5599895A,adhesion_test,sbr_strip_width,"2.5 cm",2.5,cm,reported,"US5599895A lines 497-499","
HENKEL5599895_PEEL_PRIMER,PAT_US5599895A,adhesion_test,primer_treatment,"dip about 5 s then dry about 30 min at 100 C",,,,reported,"US5599895A lines 497-499","
HENKEL5599895_PEEL_LAYER,PAT_US5599895A,adhesion_test,adhesive_layer_thickness,"about 0.5 mm",0.5,mm,about,"US5599895A lines 497-499","
HENKEL5599895_PEEL_PRESSURE,PAT_US5599895A,adhesion_test,press_pressure,"7-14 bar",,,range,"US5599895A lines 497-499","Pressing about one minute after initial hand contact."
HENKEL5599895_PEEL_SPEED,PAT_US5599895A,adhesion_test,peel_speed,"1.25 cm/min",1.25,cm/min,reported,"US5599895A lines 497-500","Applies to Examples 1-11 SBR/man-made or leather/SBR test context."
HENKEL5599895_MATURE_TIME,PAT_US5599895A,adhesion_test,mature_bond_time,"7 days",7,day,reported,"US5599895A lines 499-500","
HENKEL5599895_CREEP_LOAD,PAT_US5599895A,creep_test,creep_load,"500 g",500,g,reported,"US5599895A lines 501-502","
HENKEL5599895_CREEP_GOOD,PAT_US5599895A,creep_test,good_threshold,"below 10 mm/h; especially below 5 mm/h",,,,qualitative_threshold,"US5599895A lines 501-502","Rows marked 'good' in the formulation table are preserved as reported text because the exact measured value is not given."
HENKEL5599895_EX12_APPLY_T,PAT_US5599895A,adhesion_test,example12_application_temperature,"about 180 C",180,C,about,"US5599895A lines 655-658","NBR/NBR sample strips preheated to 80-100 C."
HENKEL5599895_EX12_PRESS,PAT_US5599895A,adhesion_test,example12_press_condition,"7 bar for about 1 min",7,bar,reported,"US5599895A lines 655-658","
HENKEL5599895_EX12_SPEED,PAT_US5599895A,adhesion_test,example12_test_speed,"12.5 cm/min",12.5,cm/min,reported,"US5599895A lines 655-658","
HENKEL5599895_FREE_NCO_GENERAL,PAT_US5599895A,claim_context,free_nco_general,"0.5-3 g per 100 g adhesive",,,claimed_range,"US5599895A claims 30-31","Preferred claim range is 1.0-2 g per 100 g adhesive. This is a claim-level range, not a measured value for each example."
HENKEL5599895_NCOOH_GENERAL,PAT_US5599895A,claim_context,nco_oh_general,"1.1:1 to 2:1",,,claimed_range,"US5599895A claims 27-28","Preferred claimed range 1.15:1 to 1.5:1; example-specific ratios are stored separately."
