claim_id,source_id,material_id,supplier,grade,application,region,performance_tags,evidence_locator,source_url,quality_level,notes
CLAIM_STEPAN_PURHM_01,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,,Stepan,STEPANPOL PC-105-10,reactive_hot_melt_adhesives,A E,broad_adhesion;open_time_longer;crystalline,CASE Adhesives Brochure: Reactive Hot Melt Adhesives product-selection table,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/literature/polyester-polyols/CASEAdhesivesBrochure.pdf,A,Manufacturer performance text normalized to controlled tags.
CLAIM_STEPAN_PURHM_02,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,,Stepan,STEPANPOL PC-205P-17,reactive_hot_melt_adhesives,A E,bonding_profile;crystalline,CASE Adhesives Brochure: Reactive Hot Melt Adhesives product-selection table,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/literature/polyester-polyols/CASEAdhesivesBrochure.pdf,A,Manufacturer performance text normalized to controlled tags.
CLAIM_STEPAN_PURHM_03,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,,Stepan,STEPANPOL PC-205P-20,reactive_hot_melt_adhesives,A E,bonding_profile;crystalline,CASE Adhesives Brochure: Reactive Hot Melt Adhesives product-selection table,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/literature/polyester-polyols/CASEAdhesivesBrochure.pdf,A,Manufacturer performance text normalized to controlled tags.
CLAIM_STEPAN_PURHM_04,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,,Stepan,STEPANPOL PC-105P-22,reactive_hot_melt_adhesives,A E,bonding_profile;crystalline,CASE Adhesives Brochure: Reactive Hot Melt Adhesives product-selection table,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/literature/polyester-polyols/CASEAdhesivesBrochure.pdf,A,Manufacturer performance text normalized to controlled tags.
CLAIM_STEPAN_PURHM_05,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,,Stepan,STEPANPOL PC-105P-30,reactive_hot_melt_adhesives,A E,workhorse;bonding_profile;crystalline,CASE Adhesives Brochure: Reactive Hot Melt Adhesives product-selection table,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/literature/polyester-polyols/CASEAdhesivesBrochure.pdf,A,Manufacturer performance text normalized to controlled tags.
CLAIM_STEPAN_PURHM_06,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,,Stepan,STEPANPOL PC-205P-30,reactive_hot_melt_adhesives,A E C,workhorse;bonding_profile;crystalline,CASE Adhesives Brochure: Reactive Hot Melt Adhesives product-selection table,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/literature/polyester-polyols/CASEAdhesivesBrochure.pdf,A,Manufacturer performance text normalized to controlled tags.
CLAIM_STEPAN_PURHM_07,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,,Stepan,STEPANPOL PC-105P-42,reactive_hot_melt_adhesives,A E,bonding_profile;crystalline,CASE Adhesives Brochure: Reactive Hot Melt Adhesives product-selection table,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/literature/polyester-polyols/CASEAdhesivesBrochure.pdf,A,Manufacturer performance text normalized to controlled tags.
CLAIM_STEPAN_PURHM_08,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,,Stepan,STEPANPOL PC-205P-56,reactive_hot_melt_adhesives,A E,bonding_profile;crystalline,CASE Adhesives Brochure: Reactive Hot Melt Adhesives product-selection table,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/literature/polyester-polyols/CASEAdhesivesBrochure.pdf,A,Manufacturer performance text normalized to controlled tags.
CLAIM_STEPAN_PURHM_09,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,,Stepan,STEPANPOL PC-2072P-30,reactive_hot_melt_adhesives,A E,specialty;bonding_profile;crystalline,CASE Adhesives Brochure: Reactive Hot Melt Adhesives product-selection table,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/literature/polyester-polyols/CASEAdhesivesBrochure.pdf,A,Manufacturer performance text normalized to controlled tags.
CLAIM_STEPAN_PURHM_10,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,,Stepan,STEPANPOL PC-5000P-30,reactive_hot_melt_adhesives,A E C,bonding_profile;amorphous;aromatic;flexibility,CASE Adhesives Brochure: Reactive Hot Melt Adhesives product-selection table,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/literature/polyester-polyols/CASEAdhesivesBrochure.pdf,A,Manufacturer performance text normalized to controlled tags.
CLAIM_STEPAN_PURHM_11,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,,Stepan,STEPANPOL PC-5010P-55,reactive_hot_melt_adhesives,A E,broad_adhesion;flexibility;aromatic;open_time_longer;green_strength_retained,CASE Adhesives Brochure: Reactive Hot Melt Adhesives product-selection table,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/literature/polyester-polyols/CASEAdhesivesBrochure.pdf,A,Manufacturer performance text normalized to controlled tags.
CLAIM_STEPAN_PURHM_12,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,,Stepan,STEPANPOL PC-5120P-20,reactive_hot_melt_adhesives,E,bonding_profile;flexibility_higher;amorphous;aromatic,CASE Adhesives Brochure: Reactive Hot Melt Adhesives product-selection table,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/literature/polyester-polyols/CASEAdhesivesBrochure.pdf,A,Manufacturer performance text normalized to controlled tags.
CLAIM_STEPAN_PURHM_13,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,,Stepan,STEPANPOL PH-56,reactive_hot_melt_adhesives,A E C,broad_adhesion;set_time_longer;prepolymer_grade,CASE Adhesives Brochure: Reactive Hot Melt Adhesives product-selection table,https://www.stepan.com/content/dam/stepan-dot-com/webdam/website-product-documents/literature/polyester-polyols/CASEAdhesivesBrochure.pdf,A,Manufacturer performance text normalized to controlled tags.
