material_id,supplier,grade,material_family,morphology,oh_min_mg_koh_g,oh_max_mg_koh_g,acid_min_mg_koh_g,acid_max_mg_koh_g,acid_qualifier,molecular_weight_g_mol,tg_c,melting_point_c,softening_point_c,density_23c_kg_dm3,viscosity_80c_pa_s,viscosity_130c_pa_s,source_id,evidence_locator
MAT_EVO_DYNACOLL_7110,Evonik,DYNACOLL 7110,polyester_polyol,amorphous,50,60,8,12,range,2000,10,,55,1.08,,1,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
MAT_EVO_DYNACOLL_7111,Evonik,DYNACOLL 7111,polyester_polyol,amorphous,27,34,,4,max,3500,20,,64,1.23,,3,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
MAT_EVO_DYNACOLL_7130,Evonik,DYNACOLL 7130,polyester_polyol,amorphous,31,39,,2,max,3000,30,,79,1.17,,10,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
MAT_EVO_DYNACOLL_7131,Evonik,DYNACOLL 7131,polyester_polyol,amorphous,31,39,,2,max,3000,30,,78,1.23,,10,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
MAT_EVO_DYNACOLL_7140,Evonik,DYNACOLL 7140,polyester_polyol,amorphous,18,24,,2,max,5500,30,,87,1.21,,50,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
MAT_EVO_DYNACOLL_7150,Evonik,DYNACOLL 7150,polyester_polyol,amorphous,38,46,,2,max,2600,50,,95,1.26,,60,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
MAT_EVO_DYNACOLL_7210,Evonik,DYNACOLL 7210,polyester_polyol,liquid,27,34,,2,max,3500,-15,,,1.29,11,,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
MAT_EVO_DYNACOLL_7230,Evonik,DYNACOLL 7230,polyester_polyol,liquid,27,34,,2,max,3500,-30,,,1.17,10,,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
MAT_EVO_DYNACOLL_7231,Evonik,DYNACOLL 7231,polyester_polyol,liquid,27,34,,2,max,3500,-30,,,1.21,8,,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
MAT_EVO_DYNACOLL_7250,Evonik,DYNACOLL 7250,polyester_polyol,liquid,18,24,,2,max,5500,-50,,,1.15,5,,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
MAT_EVO_DYNACOLL_7255,Evonik,DYNACOLL 7255,polyester_polyol,liquid/pasty,27,34,,2,max,3500,-60,32,40,1.11,2,,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
MAT_EVO_DYNACOLL_7360,Evonik,DYNACOLL 7360,polyester_polyol,crystalline,27,34,,2,max,3500,-60,55,63,1.16,2,,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
MAT_EVO_DYNACOLL_7363,Evonik,DYNACOLL 7363,polyester_polyol,crystalline,18,24,,2,max,5500,-60,56,63,1.16,5,,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
MAT_EVO_DYNACOLL_7365,Evonik,DYNACOLL 7365,polyester_polyol,crystalline,14,20,,2,max,6500,-60,57,63,1.16,10,,MFR_EVO_DYNACOLL7000_2024,"DYNACOLL 7000 Product Range, Product Range table"
