record_id,source_id,source_polyol_example,dda_mol_pct,aa_mol_pct,tpa_mol_pct,ddl_mol_pct,hd_mol_pct,hydroxyl_value_mg_koh_g,number_average_molecular_weight_g_mol,polyol_melting_point_c,polyol_crystallizing_temperature_c,polyol_crystallization_enthalpy_j_g,isocyanate,mdi_molar_equiv_relative_to_polyol,reaction_temperature_c,reaction_time_h,prepolymer_viscosity_mpa_s,prepolymer_viscosity_temperature_c,prepolymer_melting_point_c,prepolymer_crystallizing_temperature_c,prepolymer_crystallization_enthalpy_j_g,setting_time_raw,setting_time_min_s,setting_time_max_s,shore_d_hardness,working_efficiency_raw,working_efficiency_normalized,evidence_locator,notes
US20070129523_PAIR_01,PAT_US20070129523A1,Example 1 -> Prepolymer Example 4,15,0,85,100,0,30,3700,115,90,55.5,"4,4'-MDI",2.2,120,1.5,43600,120,110,80,44.5,5,5,5,44,O,good,US20070129523A1 Tables 1-3,"Rows with viscosity temperature 140 C were partially solidified at 120 C; temperature is preserved explicitly."
US20070129523_PAIR_02,PAT_US20070129523A1,Example 2 -> Prepolymer Example 5,10,0,90,100,0,37,3000,116,94,58.6,"4,4'-MDI",2.2,120,1.5,24800,120,112,82,45.9,3,3,3,45,O,good,US20070129523A1 Tables 1-3,"Rows with viscosity temperature 140 C were partially solidified at 120 C; temperature is preserved explicitly."
US20070129523_PAIR_03,PAT_US20070129523A1,Example 3 -> Prepolymer Example 6,5,0,95,100,0,30,3700,120,98,62.9,"4,4'-MDI",2.2,120,1.5,76800,120,115,86,48.2,3-4,3,4,51,O,good,US20070129523A1 Tables 1-3,"Rows with viscosity temperature 140 C were partially solidified at 120 C; temperature is preserved explicitly."
US20070129523_PAIR_04,PAT_US20070129523A1,Comparative Example 1 -> Prepolymer Comparative Example 9,20,0,80,100,0,33,3400,111,88,50.9,"4,4'-MDI",2.2,120,1.5,32400,120,106,77,44.2,5-6,5,6,41,O,good,US20070129523A1 Tables 1-3,"Rows with viscosity temperature 140 C were partially solidified at 120 C; temperature is preserved explicitly."
US20070129523_PAIR_05,PAT_US20070129523A1,Comparative Example 2 -> Prepolymer Comparative Example 10,100,0,0,100,0,40,2800,81,69,131.4,"4,4'-MDI",2.2,120,1.5,4400,120,74,60,89.1,8-10,8,10,50,O,good,US20070129523A1 Tables 1-3,"Rows with viscosity temperature 140 C were partially solidified at 120 C; temperature is preserved explicitly."
US20070129523_PAIR_06,PAT_US20070129523A1,Comparative Example 3 -> Prepolymer Comparative Example 11,0,0,100,100,0,28,4000,123,100,64.8,"4,4'-MDI",2.2,120,1.5,48000,140,120,93,50.7,3-4,3,4,53,x,poor,US20070129523A1 Tables 1-3,"Rows with viscosity temperature 140 C were partially solidified at 120 C; temperature is preserved explicitly."
US20070129523_PAIR_07,PAT_US20070129523A1,Comparative Example 4 -> Prepolymer Comparative Example 12,10,0,90,0,100,42,2700,131,105,38.3,"4,4'-MDI",2.2,120,1.5,22000,140,122,84,29.5,20,20,20,45,x,poor,US20070129523A1 Tables 1-3,"Rows with viscosity temperature 140 C were partially solidified at 120 C; temperature is preserved explicitly."
US20070129523_PAIR_08,PAT_US20070129523A1,Comparative Example 5 -> Prepolymer Comparative Example 13,20,0,80,0,100,29,3900,119,85,32.9,"4,4'-MDI",2.2,120,1.5,127200,120,113,73,26.9,12-13,12,13,40,Δ,mixed,US20070129523A1 Tables 1-3,"Rows with viscosity temperature 140 C were partially solidified at 120 C; temperature is preserved explicitly."
US20070129523_PAIR_09,PAT_US20070129523A1,Comparative Example 6 -> Prepolymer Comparative Example 14,100,0,0,0,100,32,3500,71,58,113.5,"4,4'-MDI",2.2,120,1.5,6000,120,65,52,80.5,15,15,15,46,O,good,US20070129523A1 Tables 1-3,"Rows with viscosity temperature 140 C were partially solidified at 120 C; temperature is preserved explicitly."
US20070129523_PAIR_10,PAT_US20070129523A1,Comparative Example 7 -> Prepolymer Comparative Example 15,0,20,80,0,100,29,3900,122,92,32.9,"4,4'-MDI",2.2,120,1.5,28400,140,114,74,27.6,110,110,110,45,Δ,mixed,US20070129523A1 Tables 1-3,"Rows with viscosity temperature 140 C were partially solidified at 120 C; temperature is preserved explicitly."
US20070129523_PAIR_11,PAT_US20070129523A1,Comparative Example 8 -> Prepolymer Comparative Example 16,0,40,60,0,100,33,3400,95,65,21.8,"4,4'-MDI",2.2,120,1.5,22000,120,87,26,31.1,150,150,150,33,O,good,US20070129523A1 Tables 1-3,"Rows with viscosity temperature 140 C were partially solidified at 120 C; temperature is preserved explicitly."
