record_id,source_id,named_grade,backbone,precursor_basis,named_grade_pct_in_polyol_blend,base_grade,precursor_viscosity_cp,precursor_viscosity_temperature_c,average_molecular_weight_g_mol,hydroxyl_value_mg_koh_g,thermal_transition_type,thermal_transition_c,isocyanate,target_nco_wt_pct,prepolymer_viscosity_120c_cp,prepolymer_viscosity_130c_cp,same_temperature_pair,open_time_s,open_time_qualifier,set_time_s,tensile_strength_psi,elongation_at_break_pct,elongation_qualifier,evidence_locator,notes
STEPAN_PURHM_01,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,STEPANPOL PC-105-10,HDO-AA,polyol,100,,4500,60,11220,10,Tm,62,"4,4'-MDI",2,59370,45860,0,,,,,,,CASE Adhesives Brochure: PURHM typical chemical properties table,"Precursor viscosity and prepolymer viscosity are measured at different temperatures; do not calculate an amplification factor directly."
STEPAN_PURHM_02,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,STEPANPOL PC-205P-17,HDO-AA,polyol,100,,5400,80,8670,17,Tm,62,"4,4'-MDI",2,17240,17020,0,,,,,,,CASE Adhesives Brochure: PURHM typical chemical properties table,"Precursor viscosity and prepolymer viscosity are measured at different temperatures; do not calculate an amplification factor directly."
STEPAN_PURHM_03,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,STEPANPOL PC-205P-20,HDO-AA,polyol,100,,5400,80,5600,20,Tm,62,"4,4'-MDI",2,17240,17020,0,,,,,,,CASE Adhesives Brochure: PURHM typical chemical properties table,"Precursor viscosity and prepolymer viscosity are measured at different temperatures; do not calculate an amplification factor directly."
STEPAN_PURHM_04,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,STEPANPOL PC-105P-22,HDO-AA,polyol,100,,5400,80,5090,22,Tm,62,"4,4'-MDI",2,17240,17020,0,,,,,,,CASE Adhesives Brochure: PURHM typical chemical properties table,"Precursor viscosity and prepolymer viscosity are measured at different temperatures; do not calculate an amplification factor directly."
STEPAN_PURHM_05,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,STEPANPOL PC-105P-30,HDO-AA,polyol,100,,3500,80,3740,30,Tm,56,"4,4'-MDI",2,9990,7890,0,18,,10,3684,960,,CASE Adhesives Brochure: PURHM typical chemical properties table,"Precursor viscosity and prepolymer viscosity are measured at different temperatures; do not calculate an amplification factor directly."
STEPAN_PURHM_06,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,STEPANPOL PC-205P-30,HDO-AA,polyol,100,,3500,80,3740,30,Tm,56,"4,4'-MDI",2,16575,13200,0,15,,15,3668,979,,CASE Adhesives Brochure: PURHM typical chemical properties table,"Precursor viscosity and prepolymer viscosity are measured at different temperatures; do not calculate an amplification factor directly."
STEPAN_PURHM_07,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,STEPANPOL PC-105P-42,HDO-AA,polyol,100,,2650,60,2670,42,Tm,56,"4,4'-MDI",2,14720,12660,0,,,,,,,CASE Adhesives Brochure: PURHM typical chemical properties table,"Precursor viscosity and prepolymer viscosity are measured at different temperatures; do not calculate an amplification factor directly."
STEPAN_PURHM_08,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,STEPANPOL PC-205P-56,HDO-AA,polyol,100,,2800,80,2000,56,Tm,54,"4,4'-MDI",2,19520,15410,0,,,,,,,CASE Adhesives Brochure: PURHM typical chemical properties table,"Precursor viscosity and prepolymer viscosity are measured at different temperatures; do not calculate an amplification factor directly."
STEPAN_PURHM_09,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,STEPANPOL PC-2072P-30,HDO-DDDA,polyol,100,,2800,80,3740,30,Tm,71,"4,4'-MDI",2,17200,14520,0,5,<,2,2846,5,<,CASE Adhesives Brochure: PURHM typical chemical properties table,"Precursor viscosity and prepolymer viscosity are measured at different temperatures; do not calculate an amplification factor directly."
STEPAN_PURHM_10,MFR_STEPAN_CASE_ADHESIVES_BROCHURE,STEPANPOL PC-5000P-30,Proprietary,blend_25pct_in_PC-205P-30,25,STEPANPOL PC-205P-30,10500,80,3740,30,Tg,-24,"4,4'-MDI",2,12280,9460,0,35,,21,3175,1146,,CASE Adhesives Brochure: PURHM typical chemical properties table,"The named grade is used at 25 wt.% in a polyol blend with PC-205P-30; the listed raw viscosity belongs to the named grade, not the blend."
