record_id,source_id,sample_id,series,formulation_basis,ppg2000_wt_pct,ppg425_wt_pct,dynacoll7230_wt_pct,dynacoll7130_wt_pct,dynacoll7250_wt_pct,piothane502000_wt_pct,dynacoll7360_wt_pct,dynacoll7380_wt_pct,mdi44_wt_pct,rubinate_m_wt_pct,pearlbond521_wt_pct,novares_tk100h_wt_pct,elvacite2013_wt_pct,dmdee_wt_pct,additive_bundle_wt_pct,total_reported_wt_pct,measured_nco_wt_pct,nco_method_id,viscosity_cps,viscosity_temperature_c,viscosity_method_id,amorphous_to_crystalline_polyester_ratio,evidence_locator,notes
US12319850_C1,PAT_US12319850B2,C1,comparative,wt_pct_source_table,9,0,0,0,13,24,31,7,16,0,0,0,0,0.05,0,100.05,2.7,US12319850_NCO_TITRATION,15000,80,US12319850_VISC_80C,1:4.8,Comparative formulation table,Reported components sum to 100.05 wt% due source rounding; preserved without renormalization.
US12319850_C2,PAT_US12319850B2,C2,comparative,wt_pct_source_table,9,0,0,0,13,24,30,7,17,0,0,0,0,0.05,0,100.05,2.9,US12319850_NCO_TITRATION,13000,80,US12319850_VISC_80C,1:4.7,Comparative formulation table,Reported components sum to 100.05 wt% due source rounding; preserved without renormalization.
US12319850_C3,PAT_US12319850B2,C3,comparative,wt_pct_source_table,9,0,0,0,23,34,11,2,16,0,0,0,0,0.05,0,95.05,2.6,US12319850_NCO_TITRATION,15000,80,US12319850_VISC_80C,1:2.6,Comparative formulation table,Source-listed components sum to 95.05 wt%; the apparent 4.95 wt% gap is preserved and not backfilled or renormalized.
US12319850_E1,PAT_US12319850B2,E1,main_example,wt_pct_source_table,12.5,3.0,6.9,9.3,0,0,28.4,4.0,17.7,0.8,1.5,15.3,0,0.05,0.6,100.05,3.9,US12319850_NCO_TITRATION,8000,80,US12319850_VISC_80C,1:2,E1-E8 formulation table,"Additive bundle is preserved as 0.6 wt% total; source identifies Thermoplast Blue >0.1 wt%, Resiflow LF 0.4 wt%, and A-Link 25 <0.1 wt% but does not give exact split for all three."
US12319850_E2,PAT_US12319850B2,E2,main_example,wt_pct_source_table,12.5,3.0,13.8,18.6,0,0,14.2,2.0,17.7,0.8,1.5,15.3,0,0.05,0.6,100.05,3.9,US12319850_NCO_TITRATION,18000,80,US12319850_VISC_80C,2:1,E1-E8 formulation table,"Additive bundle is preserved as 0.6 wt% total; source identifies Thermoplast Blue >0.1 wt%, Resiflow LF 0.4 wt%, and A-Link 25 <0.1 wt% but does not give exact split for all three."
US12319850_E3,PAT_US12319850B2,E3,main_example,wt_pct_source_table,12.5,3.0,19.4,13.0,0,0,14.2,2.0,17.7,0.8,1.5,15.3,0,0.05,0.6,100.05,3.9,US12319850_NCO_TITRATION,15000,80,US12319850_VISC_80C,2:1,E1-E8 formulation table,"Additive bundle is preserved as 0.6 wt% total; source identifies Thermoplast Blue >0.1 wt%, Resiflow LF 0.4 wt%, and A-Link 25 <0.1 wt% but does not give exact split for all three."
US12319850_E4,PAT_US12319850B2,E4,main_example,wt_pct_source_table,12.5,3.0,10.0,13.5,0,0,22.0,3.1,17.7,0.8,1.5,15.3,0,0.05,0.6,100.05,3.9,US12319850_NCO_TITRATION,13000,80,US12319850_VISC_80C,1:1,E1-E8 formulation table,"Additive bundle is preserved as 0.6 wt% total; source identifies Thermoplast Blue >0.1 wt%, Resiflow LF 0.4 wt%, and A-Link 25 <0.1 wt% but does not give exact split for all three."
US12319850_E5,PAT_US12319850B2,E5,main_example,wt_pct_source_table,12.7,3.0,10.2,13.7,0,0,22.3,3.2,18.0,0.8,0,15.5,0,0.05,0.6,100.05,4.0,US12319850_NCO_TITRATION,10000,80,US12319850_VISC_80C,1:1,E1-E8 formulation table,"Additive bundle is preserved as 0.6 wt% total; source identifies Thermoplast Blue >0.1 wt%, Resiflow LF 0.4 wt%, and A-Link 25 <0.1 wt% but does not give exact split for all three."
US12319850_E6,PAT_US12319850B2,E6,main_example,wt_pct_source_table,12.6,3.0,10.1,13.6,0,0,22.2,3.1,17.9,0,1.5,15.4,0,0.05,0.6,100.05,3.7,US12319850_NCO_TITRATION,13000,80,US12319850_VISC_80C,1:1,E1-E8 formulation table,"Additive bundle is preserved as 0.6 wt% total; source identifies Thermoplast Blue >0.1 wt%, Resiflow LF 0.4 wt%, and A-Link 25 <0.1 wt% but does not give exact split for all three."
US12319850_E7,PAT_US12319850B2,E7,main_example,wt_pct_source_table,12.8,3.1,10.2,13.8,0,0,22.5,3.2,18.1,0,0,15.7,0,0.05,0.6,100.05,3.7,US12319850_NCO_TITRATION,11000,80,US12319850_VISC_80C,1:1,E1-E8 formulation table,"Additive bundle is preserved as 0.6 wt% total; source identifies Thermoplast Blue >0.1 wt%, Resiflow LF 0.4 wt%, and A-Link 25 <0.1 wt% but does not give exact split for all three."
US12319850_E8,PAT_US12319850B2,E8,main_example,wt_pct_source_table,12.1,2.9,9.6,12.9,0,0,21.2,3.0,17.1,0.8,1.5,15.3,3.0,0.05,0.6,100.05,3.8,US12319850_NCO_TITRATION,16000,80,US12319850_VISC_80C,1:1,E1-E8 formulation table,"Additive bundle is preserved as 0.6 wt% total; source identifies Thermoplast Blue >0.1 wt%, Resiflow LF 0.4 wt%, and A-Link 25 <0.1 wt% but does not give exact split for all three."
