material_id,source_id,material_name,role,morphology,oh_number_mg_koh_g,molecular_weight_g_mol,tg_value_c,tg_qualifier,tm_value_c,tm_qualifier,viscosity_pa_s,viscosity_temperature_c,functionality_or_equivalent,source_description,evidence_locator,notes
MAT_HEN_DYN7130,PAT_US12319850B2,Dynacoll 7130,polyester_polyol,amorphous,32,1750,20,>,,,14,130,,solid polyester polyol at room temperature,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_DYN7230,PAT_US12319850B2,Dynacoll 7230,polyester_polyol,amorphous,30,3500,-30,=,,,10,80,,liquid polyester polyol at room temperature,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_DYN7250,PAT_US12319850B2,Dynacoll 7250,polyester_polyol,amorphous,21,5500,-50,=,,,5,80,,liquid polyester polyol at room temperature,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_PIO_502000,PAT_US12319850B2,Piothane 50-2000 HAI,polyester_polyol,crystalline,55,,,,25,<,,,,crystalline polyester polyol,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_DYN7360,PAT_US12319850B2,Dynacoll 7360,polyester_polyol,crystalline,30,3500,,,55,=,2,80,,solid polyester polyol at room temperature,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_DYN7380,PAT_US12319850B2,Dynacoll 7380,polyester_polyol,crystalline,30,3500,,,70,=,2,80,,solid polyester polyol at room temperature,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_MDI44,PAT_US12319850B2,"4,4-prime MDI",diisocyanate,,,,,,,,,,f=2,diisocyanate,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_RUBINATE_M,PAT_US12319850B2,Rubinate M,polyisocyanate,,,,,,,,,,equivalent weight 133; f>2,polymeric MDI,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_PPG425,PAT_US12319850B2,PPG Mw 425,polyether_polyol,,,425,,,,,,,,polyether polyol,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_PPG1000,PAT_US12319850B2,PPG Mw 1000,polyether_polyol,,,1000,,,,,,,,polyether polyol,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_PPG2000,PAT_US12319850B2,PPG Mw 2000,polyether_polyol,,,2000,,,,,,,,polyether polyol,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_PEARLBOND521,PAT_US12319850B2,Pearlbond 521,thermoplastic_polyurethane,,,,,,,,,,,thermoplastic polyurethane based on polycaprolactone,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_DMDEE,PAT_US12319850B2,DMDEE,catalyst,,,,,,,,,,,dimorpholinodiethylether amine,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_NOVARES_TK100H,PAT_US12319850B2,Novares TK 100H,tackifier,,,,,,,,,,,tackifier,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_ALINK25,PAT_US12319850B2,A-Link 25,adhesion_promoter,,,,,,,,,,,adhesion promoter,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
MAT_HEN_ELVACITE2013,PAT_US12319850B2,Elvacite 2013,acrylic_resin,,,,,,,,,,,acrylic resin based on methyl methacrylate and butyl methacrylate,Table 1,Values are transcribed as source-defined material descriptors; blanks are not inferred.
