contrast_id,source_id,sample_a,sample_b,controlled_axis,control_confidence,viscosity_a_cps,viscosity_b_cps,viscosity_b_over_a,open_time_a_min,open_time_b_min,lap_shear_30min_a_psi,lap_shear_30min_b_psi,lap_shear_24h_a_psi,lap_shear_24h_b_psi,notes
DYNACOLL_ADD_4,PAT_US20030022973A1,4A,4B,"add 19.5 parts Dynacoll 7360 while keeping PPGs, Elvacite, DMDEE, MDI and tackifier identity/parts unchanged",high,15000,37000,2.46667,9.0,9.0,51,31,377,387,Contrast is based only on explicitly reported formulation-table differences; no renormalization is performed.
DYNACOLL_ADD_5,PAT_US20030022973A1,5A,5B,"add 19.5 parts Dynacoll 7360 while keeping PPGs, Elvacite, DMDEE, MDI and tackifier identity/parts unchanged",high,7900,15400,1.94937,17.0,30.0,43,9,345,487,Contrast is based only on explicitly reported formulation-table differences; no renormalization is performed.
DYNACOLL_ADD_6,PAT_US20030022973A1,6A,6B,"add 19.5 parts Dynacoll 7360 while keeping PPGs, Elvacite, DMDEE, MDI and tackifier identity/parts unchanged",high,7900,14500,1.83544,35.0,30.0,10,15,329,482,Contrast is based only on explicitly reported formulation-table differences; no renormalization is performed.
DYNACOLL_ADD_7,PAT_US20030022973A1,7A,7B,"add 19.5 parts Dynacoll 7360 while keeping PPGs, Elvacite, DMDEE, MDI and tackifier identity/parts unchanged",high,4400,10500,2.38636,40.0,40.0,12,25,365,516,Contrast is based only on explicitly reported formulation-table differences; no renormalization is performed.
TACK_A_XR_to_RH97,PAT_US20030022973A1,4A,5A,replace 19.5 parts XR 4008 with 19.5 parts RH 97M-NC; all other reported parts unchanged,high,15000,7900,0.52667,9.0,17.0,51,43,377,345,Contrast is based only on explicitly reported formulation-table differences; no renormalization is performed.
TACK_A_XR_to_RH200,PAT_US20030022973A1,4A,6A,replace 19.5 parts XR 4008 with 19.5 parts RH 200-NC; all other reported parts unchanged,high,15000,7900,0.52667,9.0,35.0,51,10,377,329,Contrast is based only on explicitly reported formulation-table differences; no renormalization is performed.
TACK_A_XR_to_KE615,PAT_US20030022973A1,4A,7A,replace 19.5 parts XR 4008 with 19.5 parts KE 615-3; all other reported parts unchanged,high,15000,4400,0.29333,9.0,40.0,51,12,377,365,Contrast is based only on explicitly reported formulation-table differences; no renormalization is performed.
TACK_B_XR_to_RH97,PAT_US20030022973A1,4B,5B,replace 19.5 parts XR 4008 with 19.5 parts RH 97M-NC at fixed Dynacoll 7360,high,37000,15400,0.41622,9.0,30.0,31,9,387,487,Contrast is based only on explicitly reported formulation-table differences; no renormalization is performed.
TACK_B_XR_to_RH200,PAT_US20030022973A1,4B,6B,replace 19.5 parts XR 4008 with 19.5 parts RH 200-NC at fixed Dynacoll 7360,high,37000,14500,0.39189,9.0,30.0,31,15,387,482,Contrast is based only on explicitly reported formulation-table differences; no renormalization is performed.
TACK_B_XR_to_KE615,PAT_US20030022973A1,4B,7B,replace 19.5 parts XR 4008 with 19.5 parts KE 615-3 at fixed Dynacoll 7360,high,37000,10500,0.28378,9.0,40.0,31,25,387,516,Contrast is based only on explicitly reported formulation-table differences; no renormalization is performed.
