record_id,source_id,sample_id,series,formulation_basis,ppg2025_parts,ppg4025_parts,dynacoll7360_parts,elvacite2016_parts,dmdee_parts,mdi_parts,tackifier_identity,tackifier_parts,total_reported_parts,evidence_locator,notes
US2003_4A,PAT_US20030022973A1,4A,Table5_no_Dynacoll7360,parts_by_weight,19.5,19.5,0.0,28.0,0.1,12.6,XR 4008,19.5,99.2,Table 5,Amounts are transcribed as reported parts; they are not normalized to 100 wt%.
US2003_5A,PAT_US20030022973A1,5A,Table5_no_Dynacoll7360,parts_by_weight,19.5,19.5,0.0,28.0,0.1,12.6,RH 97M-NC,19.5,99.2,Table 5,Amounts are transcribed as reported parts; they are not normalized to 100 wt%.
US2003_6A,PAT_US20030022973A1,6A,Table5_no_Dynacoll7360,parts_by_weight,19.5,19.5,0.0,28.0,0.1,12.6,RH 200-NC,19.5,99.2,Table 5,Amounts are transcribed as reported parts; they are not normalized to 100 wt%.
US2003_7A,PAT_US20030022973A1,7A,Table5_no_Dynacoll7360,parts_by_weight,19.5,19.5,0.0,28.0,0.1,12.6,KE 615-3,19.5,99.2,Table 5,Amounts are transcribed as reported parts; they are not normalized to 100 wt%.
US2003_4B,PAT_US20030022973A1,4B,Table6_with_Dynacoll7360,parts_by_weight,19.5,19.5,19.5,28.0,0.1,12.6,XR 4008,19.5,118.7,Table 6,Amounts are transcribed as reported parts; they are not normalized to 100 wt%.
US2003_5B,PAT_US20030022973A1,5B,Table6_with_Dynacoll7360,parts_by_weight,19.5,19.5,19.5,28.0,0.1,12.6,RH 97M-NC,19.5,118.7,Table 6,Amounts are transcribed as reported parts; they are not normalized to 100 wt%.
US2003_6B,PAT_US20030022973A1,6B,Table6_with_Dynacoll7360,parts_by_weight,19.5,19.5,19.5,28.0,0.1,12.6,RH 200-NC,19.5,118.7,Table 6,Amounts are transcribed as reported parts; they are not normalized to 100 wt%.
US2003_7B,PAT_US20030022973A1,7B,Table6_with_Dynacoll7360,parts_by_weight,19.5,19.5,19.5,28.0,0.1,12.6,KE 615-3,19.5,118.7,Table 6,Amounts are transcribed as reported parts; they are not normalized to 100 wt%.
US2003_10A,PAT_US20030022973A1,10A,Table11_plastic_tackifier_matrix,parts_by_weight,19.8,19.8,19.8,28.3,0.2,18.0,Reagem 4020,19.8,125.7,Table 11,Amounts are transcribed as reported parts; they are not normalized to 100 wt%.
US2003_10B,PAT_US20030022973A1,10B,Table11_plastic_tackifier_matrix,parts_by_weight,19.8,19.8,19.8,28.3,0.2,18.0,Reagem 5110,19.8,125.7,Table 11,Amounts are transcribed as reported parts; they are not normalized to 100 wt%.
US2003_10C,PAT_US20030022973A1,10C,Table11_plastic_tackifier_matrix,parts_by_weight,19.8,19.8,19.8,0.0,0.2,16.0,Reagem 4020,19.8,95.4,Table 11,Amounts are transcribed as reported parts; they are not normalized to 100 wt%.
US2003_10D,PAT_US20030022973A1,10D,Table11_plastic_tackifier_matrix,parts_by_weight,19.8,19.8,19.8,0.0,0.2,16.0,Reagem 5110,19.8,95.4,Table 11,Amounts are transcribed as reported parts; they are not normalized to 100 wt%.
US2003_10E,PAT_US20030022973A1,10E,Table11_plastic_tackifier_matrix,parts_by_weight,19.8,19.8,19.8,0.0,0.2,10.5,,0.0,70.1,Table 11,Amounts are transcribed as reported parts; they are not normalized to 100 wt%.
