material_id,source_id,material_name,material_class,supplier,nominal_functionality,oh_number_mg_koh_g,mn_g_mol,primary_oh_mol_pct,ethylene_oxide_wt_pct,chemistry_or_descriptor,notes,evidence_location
US20060020101_POLYA,PAT_US20060020101A1,Polyether A,polyether polyol,,3,35,,80-85,13,"glycerol-started PO polyether with EO termination","Source reports nominal functionality and OH number; Mn not explicitly stated.","Examples, material definitions"
US20060020101_POLYB,PAT_US20060020101A1,Polyether B,polyether polyol,,2,28,,70-80,13,"source says propoxylating glycerol then EO termination","Source retains nominal functionality 2 despite glycerol wording; no correction is imposed.","Examples, material definitions"
US20060020101_POLYC,PAT_US20060020101A1,Polyether C,polypropylene glycol,Bayer MaterialScience AG,2,28,,,,"DMC-catalysed Acclaim 4200","Commercial identity retained as reported.","Examples, material definitions"
US20060020101_POLYD,PAT_US20060020101A1,Polyether D,polypropylene glycol,Bayer MaterialScience AG,3,28,,,,"DMC-catalysed Acclaim 6300","Commercial identity retained as reported.","Examples, material definitions"
US20060020101_POLYE,PAT_US20060020101A1,Polyether E,polyether polyol,,2,260,,,,"propylene-glycol-started PO polyether","Short-chain polyether comparator component.","Examples, material definitions"
US20060020101_POLYF,PAT_US20060020101A1,Polyether F,polyether polyol,,2,147,,,,"propylene-glycol-started PO polyether","Short-chain polyether comparator component.","Examples, material definitions"
US20060020101_MDI44,PAT_US20060020101A1,Diisocyanate I / Desmodur 44M,MDI,Bayer MaterialScience AG,,,,,,"4,4'-diphenylmethane diisocyanate","Source uses this as the principal 4,4'-MDI comparator.","Examples, material definitions"
US20060020101_MDI24_991,PAT_US20060020101A1,Diisocyanate II,MDI isomer mixture,,,,,,,"99.10 wt.% 2,4'-MDI; 0.88 wt.% 4,4'-MDI; 0.02 wt.% 2,2'-MDI","High-2,4'-MDI experimental isocyanate.","Examples, material definitions"
US20060020101_MDI24_9693,PAT_US20060020101A1,Diisocyanate III,MDI isomer mixture,,,,,,,"96.93 wt.% 2,4'-MDI; 3.05 wt.% 4,4'-MDI; 0.02 wt.% 2,2'-MDI","High-2,4'-MDI experimental isocyanate.","Examples, material definitions"
US20060020101_MDI24_9992,PAT_US20060020101A1,Diisocyanate IV,MDI isomer mixture,,,,,,,"99.92 wt.% 2,4'-MDI; 0.04 wt.% 4,4'-MDI; 0.04 wt.% 2,2'-MDI","Highest-2,4'-MDI grade in examples.","Examples, material definitions"
