sample_id,source_id,example_id,isocyanate_material_id,polyol_system,reaction_temperature_c,reaction_time_h,nco_plateau_wt_pct,nco_theoretical_wt_pct,end_product_nco_wt_pct,viscosity_mpas,viscosity_temperature_c,free_monomer_operator,free_monomer_wt_pct,viscosity_method_id,nco_method_id,free_monomer_method_id,notes,evidence_location
E1,PAT_US20060020101A1,Example 1,US20060020101_MDI24_991,"Polyether B + Polyether A",85,12,2.51,2.56,2.52,9740,23,=,3.1,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"Polyol mixture dewatered at 100 C/15 mbar before addition; benzoyl chloride present; source discussion treats this as near-matched to C1 by MDI isomer chemistry.","Example 1; Table 1"
E2,PAT_US20060020101A1,Example 2,US20060020101_MDI24_991,"Polyether A",70,19,2.81,2.83,2.24,9785,23,=,2.7,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"Mesamoll added only after reaching constant NCO; table viscosity is final binder value.","Example 2; Table 1"
E3,PAT_US20060020101A1,Example 3,US20060020101_MDI24_991,"Polyether C + Polyether D",70,20,2.27,2.24,2.20,14225,23,=,2.1,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"No Mesamoll in final binder; source explicitly warns this complicates direct viscosity comparison with Comparative Example 3 after plasticizer addition.","Example 3; Table 1"
E4,PAT_US20060020101A1,Example 4,US20060020101_MDI24_9693,"Polyether C + Polyether D",70,5,1.44,1.50,1.50,4800,23,=,0.1,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"DBTL-catalysed low-NCO/OH regime; catalyst deactivated with benzoyl chloride.","Example 4; Table 1"
E5,PAT_US20060020101A1,Example 5,US20060020101_MDI24_9992,"Polyether D",70,3,1.49,1.51,1.49,66300,23,<,0.1,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"Single high-functionality polyether; residual monomer reported as censored <0.1 wt.%.","Example 5; Table 1"
E6_STAGE1,PAT_US20060020101A1,"Example 6 stage 1",US20060020101_MDI24_9992,"Polyether C",70,4,7.58,8.0,,3410,23,=,17.6,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"NCO-functional precursor; not comparable to final sealant prepolymer as an unreacted blend.","Example 6 stage 1; Table 1"
E6_STAGE2,PAT_US20060020101A1,"Example 6 stage 2",US20060020101_MDI24_9992,"Stage-1 precursor + Polyether C + Polyether D",70,3.5,1.26,1.50,1.26,66500,23,<,0.1,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"Second-stage prepolymer; residual monomer reported as censored <0.1 wt.%.","Example 6 stage 2; Table 1"
C1,PAT_US20060020101A1,Comparative Example 1,US20060020101_MDI44,"Polyether B + Polyether A",85,8,2.48,2.56,2.48,23600,23,=,3.7,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"Near-matched chemistry comparator for Example 1; principal difference is 4,4'-MDI vs high-2,4'-MDI.","Comparative Example 1; Table 1"
C2,PAT_US20060020101A1,Comparative Example 2,US20060020101_MDI44,"Polyether A",70,14,2.84,2.83,2.24,23650,23,=,3.1,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"Near-matched comparator for Example 2; same post-reaction Mesamoll addition pattern.","Comparative Example 2; Table 1"
C3_PRE,PAT_US20060020101A1,"Comparative Example 3 before Mesamoll",US20060020101_MDI44,"Polyether C + Polyether D",70,15,2.24,2.24,,38200,23,not_determined,,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"Viscosity before plasticizer addition; free monomer not determined at this state.","Comparative Example 3; Table 1"
C3_POST,PAT_US20060020101A1,"Comparative Example 3 after Mesamoll",US20060020101_MDI44,"Polyether C + Polyether D + Mesamoll",70,15,2.24,2.24,1.86,18525,23,=,2.3,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"Final plasticized binder; should not be used as a clean rheology comparator to unplasticized Example 3 without qualifier.","Comparative Example 3; Table 1"
C4,PAT_US20060020101A1,Comparative Example 4,US20060020101_MDI44,"Polyether C + Polyether D",70,2,1.41,1.50,1.41,96000,23,=,1.4,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"DBTL-catalysed 4,4'-MDI comparator for low-NCO/OH Example 4.","Comparative Example 4; Table 1"
C5,PAT_US20060020101A1,Comparative Example 5,US20060020101_MDI44,"Polyether C + Polyether D",70,28,1.52,1.50,1.52,76800,23,=,1.4,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"Uncatalysed 4,4'-MDI comparator in same polyol family.","Comparative Example 5; Table 1"
C6,PAT_US20060020101A1,Comparative Example 6,US20060020101_MDI24_9992,"Polyether E + Polyether D",70,4.5,6.7,6.9,6.7,,23,=,0.8,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"Viscosity reported as not measurable and >>10^6 mPa.s; preserved as nonnumeric censored state in notes.","Comparative Example 6; Table 1"
C7,PAT_US20060020101A1,Comparative Example 7,US20060020101_MDI24_9992,"Polyether F + Polyether D",70,4.5,4.74,4.87,4.74,135000,23,=,0.5,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"Short-chain-polyether-rich comparator; source attributes poor sealant mechanics partly to high hard-segment fraction.","Comparative Example 7; Table 1"
C8,PAT_US20060020101A1,Comparative Example 8,US20060020101_MDI24_991,"Polyether C + Polyether D",70,20,2.57,2.61,2.60,11300,23,=,2.6,US20060020101_VISC23,US20060020101_NCO,US20060020101_MONOMER,"Low fraction of higher-functionality polyether comparator.","Comparative Example 8; Table 1"
