record_id,source_id,sample_id,time_after_assembly_min,cross_peel_strength_psi,method_id,evidence_locator,notes
US20070155859_EX1_T0,PAT_US20070155859A1,US20070155859_EX1,0,0,US20070155859_CROSSPEEL,Table II,
US20070155859_EX1_T5,PAT_US20070155859A1,US20070155859_EX1,5,33.7,US20070155859_CROSSPEEL,Table II,
US20070155859_EX1_T8,PAT_US20070155859A1,US20070155859_EX1,8,58,US20070155859_CROSSPEEL,Table II,
US20070155859_EX1_T11,PAT_US20070155859A1,US20070155859_EX1,11,126,US20070155859_CROSSPEEL,Table II,
US20070155859_EX1_T14,PAT_US20070155859A1,US20070155859_EX1,14,171,US20070155859_CROSSPEEL,Table II,
US20070155859_EX1_T17,PAT_US20070155859A1,US20070155859_EX1,17,140,US20070155859_CROSSPEEL,Table II,
US20070155859_EX1_T20,PAT_US20070155859A1,US20070155859_EX1,20,175,US20070155859_CROSSPEEL,Table II,
US20070155859_EX2_T0,PAT_US20070155859A1,US20070155859_EX2,0,0,US20070155859_CROSSPEEL,Table II,
US20070155859_EX2_T5,PAT_US20070155859A1,US20070155859_EX2,5,45,US20070155859_CROSSPEEL,Table II,
US20070155859_EX2_T8,PAT_US20070155859A1,US20070155859_EX2,8,99.7,US20070155859_CROSSPEEL,Table II,
US20070155859_EX2_T11,PAT_US20070155859A1,US20070155859_EX2,11,128.7,US20070155859_CROSSPEEL,Table II,
US20070155859_EX2_T14,PAT_US20070155859A1,US20070155859_EX2,14,165,US20070155859_CROSSPEEL,Table II,
US20070155859_EX2_T17,PAT_US20070155859A1,US20070155859_EX2,17,173,US20070155859_CROSSPEEL,Table II,
US20070155859_EX2_T20,PAT_US20070155859A1,US20070155859_EX2,20,145,US20070155859_CROSSPEEL,Table II,
US20070155859_EX3_T0,PAT_US20070155859A1,US20070155859_EX3,0,0,US20070155859_CROSSPEEL,Table II,
US20070155859_EX3_T5,PAT_US20070155859A1,US20070155859_EX3,5,79,US20070155859_CROSSPEEL,Table II,
US20070155859_EX3_T8,PAT_US20070155859A1,US20070155859_EX3,8,111,US20070155859_CROSSPEEL,Table II,
US20070155859_EX3_T11,PAT_US20070155859A1,US20070155859_EX3,11,131.7,US20070155859_CROSSPEEL,Table II,
US20070155859_EX3_T14,PAT_US20070155859A1,US20070155859_EX3,14,124.3,US20070155859_CROSSPEEL,Table II,
US20070155859_EX3_T17,PAT_US20070155859A1,US20070155859_EX3,17,161.7,US20070155859_CROSSPEEL,Table II,
US20070155859_EX3_T20,PAT_US20070155859A1,US20070155859_EX3,20,149,US20070155859_CROSSPEEL,Table II,
US20070155859_EX4_T0,PAT_US20070155859A1,US20070155859_EX4,0,0,US20070155859_CROSSPEEL,Table II,
US20070155859_EX4_T5,PAT_US20070155859A1,US20070155859_EX4,5,83.7,US20070155859_CROSSPEEL,Table II,
US20070155859_EX4_T8,PAT_US20070155859A1,US20070155859_EX4,8,104,US20070155859_CROSSPEEL,Table II,
US20070155859_EX4_T11,PAT_US20070155859A1,US20070155859_EX4,11,150,US20070155859_CROSSPEEL,Table II,
US20070155859_EX4_T14,PAT_US20070155859A1,US20070155859_EX4,14,148,US20070155859_CROSSPEEL,Table II,
US20070155859_EX4_T17,PAT_US20070155859A1,US20070155859_EX4,17,138,US20070155859_CROSSPEEL,Table II,
US20070155859_EX4_T20,PAT_US20070155859A1,US20070155859_EX4,20,135,US20070155859_CROSSPEEL,Table II,
