record_id,source_id,example_label,series_role,basis,polyester_a,polyester_b,polyester_e,polyester_f,polyester_g,polyester_h,ppg425,tackifier_beta_pinene,mdi44,reported_total,nco_oh_ratio,viscosity_90c_pa_s,viscosity_110c_pa_s,viscosity_130c_pa_s,viscosity_150c_pa_s,viscosity_170c_pa_s,green_strength_min_pli,green_strength_max_pli,green_strength_time_min,mature_strength_min_pli,mature_strength_max_pli,mature_strength_time_days,test_speed_in_min,test_substrate,method_id,evidence_location,notes
US6136136_EX1,PAT_US6136136A,Example 1,early_ppg_polyester_panel,wt_pct,31.4,20.9,,,,,20.9,6.3,20.5,100,1.3,,,60,30,20,2.8,3.3,5,30,35,3,0.5,SBR/man-made shoe-upper material,US6136136_PEEL_GENERAL,"Examples 1-4 table, lines 396-424","3-day peel is explicitly reported."
US6136136_EX2,PAT_US6136136A,Example 2,early_ppg_polyester_panel,wt_pct,47.6,,,,,,23.8,6.3,22.3,100,1.3,,,54,28,18,9,11,5,20,25,3,0.5,SBR/man-made shoe-upper material,US6136136_PEEL_GENERAL,"Examples 1-4 table, lines 396-424","3-day peel is explicitly reported."
US6136136_EX3,PAT_US6136136A,Example 3,early_ppg_polyester_panel,wt_pct,46.2,,,,,,28.9,,24.9,100,1.25,,,97,61,,25,28,5,,,,0.5,SBR/man-made shoe-upper material,US6136136_PEEL_GENERAL,"Examples 1-4 table, lines 396-424","No unambiguous 3-day value is assigned from the extracted table."
US6136136_EX4,PAT_US6136136A,Example 4,early_ppg_polyester_panel,wt_pct,35.5,,,,,,35.5,,29.0,100,1.25,,,35,20,,13,20,5,,,,0.5,SBR/man-made shoe-upper material,US6136136_PEEL_GENERAL,"Examples 1-4 table, lines 396-424","No unambiguous 3-day value is assigned from the extracted table."
US6136136_EX5,PAT_US6136136A,Example 5,early_ppg_polyester_panel,wt_pct,32.4,,,,,,32.4,6.5,28.7,100,1.35,200,55,21,,,5,6,5,21,27,3,0.5,SBR/man-made shoe-upper material,US6136136_PEEL_GENERAL,"Examples 5-7 table, lines 428-456","All reported time-resolved peel values retained."
US6136136_EX6,PAT_US6136136A,Example 6,early_ppg_polyester_panel,wt_pct,34.6,,,,,,34.6,,30.8,100,1.36,144,34,,,,3,5,5,25,30,3,0.5,SBR/man-made shoe-upper material,US6136136_PEEL_GENERAL,"Examples 5-7 table, lines 428-456","130 C viscosity not reported; field remains null."
US6136136_EX7,PAT_US6136136A,Example 7,early_ppg_polyester_panel,wt_pct,23.0,11.5,,,,,34.5,,31.0,100,1.37,106,52,12,,,1,3,5,22,30,3,0.5,SBR/man-made shoe-upper material,US6136136_PEEL_GENERAL,"Examples 5-7 table, lines 428-456","All reported time-resolved peel values retained."
US6136136_EX19A,PAT_US6136136A,Example 19 A,ppg_fraction_comparable_viscosity_series,wt_pct,73.8,,,,,,9.2,,17.0,100,1.7,,,27,,,1.6,1.6,,,,,0.5,,US6136136_PEEL_GENERAL,"Example 19, lines 575-599","NCO:OH was deliberately co-varied by the source to keep viscosity in a broadly comparable range; elapsed green-strength time and substrate are not restated."
US6136136_EX19B,PAT_US6136136A,Example 19 B,ppg_fraction_comparable_viscosity_series,wt_pct,63.9,,,,,,16.0,,20.1,100,1.5,,,42,,,2.5,2.5,,,,,0.5,,US6136136_PEEL_GENERAL,"Example 19, lines 575-599","NCO:OH co-varied; do not treat as a strict single-variable PPG experiment."
US6136136_EX19C,PAT_US6136136A,Example 19 C,ppg_fraction_comparable_viscosity_series,wt_pct,58.8,,,,,,19.6,,21.6,100,1.4,,,38,,,6.5,6.5,,,,,0.5,,US6136136_PEEL_GENERAL,"Example 19, lines 575-599","NCO:OH co-varied; do not treat as a strict single-variable PPG experiment."
US6136136_EX19D,PAT_US6136136A,Example 19 D,ppg_fraction_comparable_viscosity_series,wt_pct,50.8,,,,,,25.4,,23.8,100,1.3,,,54,,,10,10,,,,,0.5,,US6136136_PEEL_GENERAL,"Example 19, lines 575-599","NCO:OH co-varied; do not treat as a strict single-variable PPG experiment."
US6136136_EX19E,PAT_US6136136A,Example 19 E,ppg_fraction_comparable_viscosity_series,wt_pct,35.5,,,,,,35.5,,29.0,100,1.25,,,35,,,17,17,,,,,0.5,,US6136136_PEEL_GENERAL,"Example 19, lines 575-599","NCO:OH co-varied; do not treat as a strict single-variable PPG experiment."
US6136136_EX19F,PAT_US6136136A,Example 19 F,ppg_fraction_comparable_viscosity_series,wt_pct,,,,,,,57.1,,42.9,100,1.25,,,60,,,15,15,,,,,0.5,,US6136136_PEEL_GENERAL,"Example 19, lines 575-599","Polyester-free endpoint; source explicitly notes acceptable PURHM can be prepared from PPG 425 + MDI."
US6136136_EX20A,PAT_US6136136A,Example 20 A,polyester_identity_screen,parts_g,200,,,,,,200,,171,571,1.3,,,74,,,24,24,,,,,5,NBR/NBR,US6136136_GREEN_NBR,"Example 20, lines 600-634","PPG 425=200 g; Polyester A=200 g; MDI=171 g. Green-strength elapsed aging time not stated."
US6136136_EX20B,PAT_US6136136A,Example 20 B,polyester_identity_screen,parts_g,,200,,,,,200,,173,573,1.3,,,42,,,10,10,,,,,5,NBR/NBR,US6136136_GREEN_NBR,"Example 20, lines 600-634","PPG 425=200 g; Polyester B=200 g; MDI=173 g."
US6136136_EX20C,PAT_US6136136A,Example 20 C,polyester_identity_screen,parts_g,,,200,,,,200,,172,572,1.3,,,34,,,22,22,,,,,5,NBR/NBR,US6136136_GREEN_NBR,"Example 20, lines 600-634","PPG 425=200 g; Polyester E=200 g; MDI=172 g."
US6136136_EX20D,PAT_US6136136A,Example 20 D,polyester_identity_screen,parts_g,,,,200,,,200,,173,573,1.3,,,18,,,4,4,,,,,5,NBR/NBR,US6136136_GREEN_NBR,"Example 20, lines 600-634","PPG 425=200 g; Polyester F=200 g; MDI=173 g."
US6136136_EX20E,PAT_US6136136A,Example 20 E,polyester_identity_screen,parts_g,,,,,200,,200,,170,570,1.4,,,125,,,25,25,,,,,5,NBR/NBR,US6136136_GREEN_NBR,"Example 20, lines 600-634","PPG 425=200 g; Polyester G=200 g; MDI=170 g."
US6136136_EX20F,PAT_US6136136A,Example 20 F,polyester_identity_screen,parts_g,,,,,,200,200,,170,570,1.4,,,185,,,45,45,,,,,5,NBR/NBR,US6136136_GREEN_NBR,"Example 20, lines 600-634","PPG 425=200 g; Polyester H=200 g; MDI=170 g."
